rssd_id,total_equity_capital,total_equity_capital_usd,bank_name
852218,322777000.0,322777000000.0,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
480228,250540000.0,250540000000.0,"BANK OF AMERICA, NATIONAL ASSOCIATION"
476810,176115000.0,176115000000.0,"CITIBANK, N.A."
451965,171723000.0,171723000000.0,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
112837,97139218.0,97139218000.0,"CAPITAL ONE, NATIONAL ASSOCIATION"
2182786,65578000.0,65578000000.0,GOLDMAN SACHS BANK USA
504713,65381988.0,65381988000.0,U.S. BANK NATIONAL ASSOCIATION
852320,61764000.0,61764000000.0,TRUIST BANK
817824,56652636.0,56652636000.0,"PNC BANK, NATIONAL ASSOCIATION"
497404,48637358.0,48637358000.0,"TD BANK, NATIONAL ASSOCIATION"
75633,36163575.0,36163575000.0,BMO BANK NATIONAL ASSOCIATION
541101,30917000.0,30917000000.0,"BANK OF NEW YORK MELLON, THE"
35301,29140000.0,29140000000.0,STATE STREET BANK AND TRUST COMPANY
501105,28382086.0,28382086000.0,MANUFACTURERS AND TRADERS TRUST COMPANY
3303298,25936975.0,25936975000.0,"CITIZENS BANK, NATIONAL ASSOCIATION"
1456501,24648000.0,24648000000.0,"MORGAN STANLEY BANK, N.A."
723112,23640000.0,23640000000.0,"FIFTH THIRD BANK, NATIONAL ASSOCIATION"
491224,22677000.0,22677000000.0,FIRST-CITIZENS BANK & TRUST COMPANY
3150447,21237000.0,21237000000.0,"CHARLES SCHWAB BANK, SSB"
12311,20790154.0,20790154000.0,"HUNTINGTON NATIONAL BANK, THE"
280110,18350963.0,18350963000.0,KEYBANK NATIONAL ASSOCIATION
1394676,18181353.0,18181353000.0,AMERICAN EXPRESS NATIONAL BANK
233031,17547000.0,17547000000.0,REGIONS BANK
2489805,17309000.0,17309000000.0,"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION"
413208,16405374.0,16405374000.0,"HSBC BANK USA, NATIONAL ASSOCIATION"
3284070,14722000.0,14722000000.0,ALLY BANK
