rssd_id,total_equity_capital,total_equity_capital_usd,bank_name,quarter_end
1000052,71567.0,71567000.0,WASHINGTON COUNTY BANK,2025-06-30
1000052,74497.0,74497000.0,WASHINGTON COUNTY BANK,2025-09-30
1000052,77555.0,77555000.0,WASHINGTON COUNTY BANK,2025-12-31
1000052,79707.0,79707000.0,WASHINGTON COUNTY BANK,2026-03-31
1000276,55017.0,55017000.0,PITTSFIELD CO-OPERATIVE BANK,2025-06-30
1000276,55600.0,55600000.0,PITTSFIELD CO-OPERATIVE BANK,2025-09-30
1000276,55344.0,55344000.0,PITTSFIELD CO-OPERATIVE BANK,2025-12-31
1000276,55258.0,55258000.0,PITTSFIELD CO-OPERATIVE BANK,2026-03-31
1000641,85546.0,85546000.0,CITIZENS STATE BANK OF NEW CASTLE,2025-06-30
1000641,87961.0,87961000.0,CITIZENS STATE BANK OF NEW CASTLE,2025-09-30
1000641,89652.0,89652000.0,CITIZENS STATE BANK OF NEW CASTLE,2025-12-31
1000641,91237.0,91237000.0,CITIZENS STATE BANK OF NEW CASTLE,2026-03-31
1000856,5878.0,5878000.0,"BAXTER STATE BANK, THE",2025-06-30
1000856,5322.0,5322000.0,"BAXTER STATE BANK, THE",2025-09-30
1000856,4848.0,4848000.0,"BAXTER STATE BANK, THE",2025-12-31
1000856,4881.0,4881000.0,"BAXTER STATE BANK, THE",2026-03-31
1000959,29257.0,29257000.0,EAGLE BANK,2025-06-30
1000959,30045.0,30045000.0,EAGLE BANK,2025-09-30
1000959,31107.0,31107000.0,EAGLE BANK,2025-12-31
1000959,31416.0,31416000.0,EAGLE BANK,2026-03-31
1001059,115253.0,115253000.0,SECURITY BANK & TRUST COMPANY,2025-06-30
1001059,114929.0,114929000.0,SECURITY BANK & TRUST COMPANY,2025-09-30
1001059,122644.0,122644000.0,SECURITY BANK & TRUST COMPANY,2025-12-31
1001059,124004.0,124004000.0,SECURITY BANK & TRUST COMPANY,2026-03-31
1001152,1816884.0,1816884000.0,INTERNATIONAL BANK OF COMMERCE,2025-06-30
1001152,1889845.0,1889845000.0,INTERNATIONAL BANK OF COMMERCE,2025-09-30
1001152,1971227.0,1971227000.0,INTERNATIONAL BANK OF COMMERCE,2025-12-31
1001152,2031659.0,2031659000.0,INTERNATIONAL BANK OF COMMERCE,2026-03-31
1001639,395696.0,395696000.0,PARKWAY BANK AND TRUST COMPANY,2025-06-30
1001639,402999.0,402999000.0,PARKWAY BANK AND TRUST COMPANY,2025-09-30
1001639,411686.0,411686000.0,PARKWAY BANK AND TRUST COMPANY,2025-12-31
1001639,418334.0,418334000.0,PARKWAY BANK AND TRUST COMPANY,2026-03-31
1001648,287612.0,287612000.0,CARROLLTON BANK,2025-06-30
1001648,290056.0,290056000.0,CARROLLTON BANK,2025-09-30
1001648,292610.0,292610000.0,CARROLLTON BANK,2025-12-31
1001648,292110.0,292110000.0,CARROLLTON BANK,2026-03-31
1001853,43949.0,43949000.0,CITIZENS BANK,2025-06-30
1001853,45028.0,45028000.0,CITIZENS BANK,2025-09-30
1001853,45920.0,45920000.0,CITIZENS BANK,2025-12-31
1001853,46777.0,46777000.0,CITIZENS BANK,2026-03-31
100236,50819.0,50819000.0,SUNMARK COMMUNITY BANK,2025-06-30
100236,52581.0,52581000.0,SUNMARK COMMUNITY BANK,2025-09-30
100236,47600.0,47600000.0,SUNMARK COMMUNITY BANK,2025-12-31
100236,79827.0,79827000.0,SUNMARK COMMUNITY BANK,2026-03-31
1002373,75844.0,75844000.0,SAVERS CO-OPERATIVE BANK,2025-06-30
1002373,79739.0,79739000.0,SAVERS CO-OPERATIVE BANK,2025-09-30
1002373,79341.0,79341000.0,SAVERS CO-OPERATIVE BANK,2025-12-31
1002373,79937.0,79937000.0,SAVERS CO-OPERATIVE BANK,2026-03-31
1002458,11442.0,11442000.0,SICILY ISLAND STATE BANK,2025-06-30
1002458,12037.0,12037000.0,SICILY ISLAND STATE BANK,2025-09-30
1002458,11332.0,11332000.0,SICILY ISLAND STATE BANK,2025-12-31
1002458,11612.0,11612000.0,SICILY ISLAND STATE BANK,2026-03-31
1002878,1643629.0,1643629000.0,NORTHWEST BANK,2025-06-30
1002878,1894417.0,1894417000.0,NORTHWEST BANK,2025-09-30
1002878,1962200.0,1962200000.0,NORTHWEST BANK,2025-12-31
1002878,1975369.0,1975369000.0,NORTHWEST BANK,2026-03-31
1002953,15853.0,15853000.0,AMERICAN BANK OF BAXTER SPRINGS,2025-06-30
1002953,16826.0,16826000.0,AMERICAN BANK OF BAXTER SPRINGS,2025-09-30
1002953,17235.0,17235000.0,AMERICAN BANK OF BAXTER SPRINGS,2025-12-31
1002953,16759.0,16759000.0,AMERICAN BANK OF BAXTER SPRINGS,2026-03-31
1003455,14024.0,14024000.0,ASTRA BANK,2025-06-30
1003455,17280.0,17280000.0,ASTRA BANK,2025-09-30
1003455,19391.0,19391000.0,ASTRA BANK,2025-12-31
1003455,18896.0,18896000.0,ASTRA BANK,2026-03-31
1003558,20673.0,20673000.0,GRAND RAPIDS STATE BANK,2025-06-30
1003558,22041.0,22041000.0,GRAND RAPIDS STATE BANK,2025-09-30
1003558,22713.0,22713000.0,GRAND RAPIDS STATE BANK,2025-12-31
1003558,22832.0,22832000.0,GRAND RAPIDS STATE BANK,2026-03-31
100357,105136.0,105136000.0,"LEGEND BANK, N. A.",2025-06-30
100357,113963.0,113963000.0,"LEGEND BANK, N. A.",2025-09-30
100357,115206.0,115206000.0,"LEGEND BANK, N. A.",2025-12-31
100357,119423.0,119423000.0,"LEGEND BANK, N. A.",2026-03-31
1003839,78265.0,78265000.0,M C BANK & TRUST COMPANY,2025-06-30
1003839,79845.0,79845000.0,M C BANK & TRUST COMPANY,2025-09-30
1003839,80513.0,80513000.0,M C BANK & TRUST COMPANY,2025-12-31
1003839,80878.0,80878000.0,M C BANK & TRUST COMPANY,2026-03-31
1003950,18366.0,18366000.0,TBO BANK,2025-06-30
1003950,21277.0,21277000.0,TBO BANK,2025-09-30
1003950,22002.0,22002000.0,TBO BANK,2025-12-31
1003950,22197.0,22197000.0,TBO BANK,2026-03-31
1004256,5446.0,5446000.0,BUTTE STATE BANK,2025-06-30
1004256,5528.0,5528000.0,BUTTE STATE BANK,2025-09-30
1004256,5844.0,5844000.0,BUTTE STATE BANK,2025-12-31
1004256,5275.0,5275000.0,BUTTE STATE BANK,2026-03-31
1004470,179080.0,179080000.0,BANKHOMETOWN,2025-06-30
1004470,184218.0,184218000.0,BANKHOMETOWN,2025-09-30
1004470,186570.0,186570000.0,BANKHOMETOWN,2025-12-31
