rssd_id,ndfi_loans_total,ndfi_loans_total_usd,bank_name,quarter_end
1000276,360.0,360000.0,PITTSFIELD CO-OPERATIVE BANK,2025-06-30
1000276,197.0,197000.0,PITTSFIELD CO-OPERATIVE BANK,2025-09-30
1000276,264.0,264000.0,PITTSFIELD CO-OPERATIVE BANK,2025-12-31
1000276,1282.0,1282000.0,PITTSFIELD CO-OPERATIVE BANK,2026-03-31
1001152,1.0,1000.0,INTERNATIONAL BANK OF COMMERCE,2025-06-30
1001152,1.0,1000.0,INTERNATIONAL BANK OF COMMERCE,2025-09-30
1001648,8775.0,8775000.0,CARROLLTON BANK,2025-06-30
1001648,8550.0,8550000.0,CARROLLTON BANK,2025-09-30
1001648,8325.0,8325000.0,CARROLLTON BANK,2025-12-31
1001648,7875.0,7875000.0,CARROLLTON BANK,2026-03-31
1002878,40000.0,40000000.0,NORTHWEST BANK,2025-09-30
1002878,40000.0,40000000.0,NORTHWEST BANK,2025-12-31
1002878,40000.0,40000000.0,NORTHWEST BANK,2026-03-31
1003839,1000.0,1000000.0,M C BANK & TRUST COMPANY,2025-06-30
1003839,1000.0,1000000.0,M C BANK & TRUST COMPANY,2025-09-30
1003839,1000.0,1000000.0,M C BANK & TRUST COMPANY,2025-12-31
1003839,2750.0,2750000.0,M C BANK & TRUST COMPANY,2026-03-31
1006157,2.0,2000.0,FARMERS STATE BANK OF HAMEL,2025-09-30
1007015,2420.0,2420000.0,CENTRAL BANK & TRUST COMPANY,2025-06-30
1007015,2341.0,2341000.0,CENTRAL BANK & TRUST COMPANY,2025-09-30
1007015,2261.0,2261000.0,CENTRAL BANK & TRUST COMPANY,2025-12-31
1007015,2153.0,2153000.0,CENTRAL BANK & TRUST COMPANY,2026-03-31
100843,4655.0,4655000.0,FNBC BANK,2025-06-30
100843,4655.0,4655000.0,FNBC BANK,2025-09-30
100843,4655.0,4655000.0,FNBC BANK,2025-12-31
100843,4655.0,4655000.0,FNBC BANK,2026-03-31
1013744,6743.0,6743000.0,CAPRA BANK,2025-12-31
1013744,13811.0,13811000.0,CAPRA BANK,2026-03-31
1014125,593.0,593000.0,"POTOMAC BANK, INC.",2026-03-31
1014853,4787.0,4787000.0,CITIZENS BANK OF KANSAS,2025-06-30
1014853,4505.0,4505000.0,CITIZENS BANK OF KANSAS,2025-09-30
1014853,3672.0,3672000.0,CITIZENS BANK OF KANSAS,2025-12-31
1014853,3457.0,3457000.0,CITIZENS BANK OF KANSAS,2026-03-31
1015252,8342.0,8342000.0,LEA COUNTY STATE BANK,2025-06-30
1015252,8865.0,8865000.0,LEA COUNTY STATE BANK,2025-09-30
1015252,9138.0,9138000.0,LEA COUNTY STATE BANK,2025-12-31
1015252,9145.0,9145000.0,LEA COUNTY STATE BANK,2026-03-31
1015560,4350.0,4350000.0,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA (USA), NATIONAL ASSOCIATION",2025-06-30
1015560,4615.0,4615000.0,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA (USA), NATIONAL ASSOCIATION",2025-09-30
1015560,4551.0,4551000.0,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA (USA), NATIONAL ASSOCIATION",2025-12-31
1015560,4579.0,4579000.0,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA (USA), NATIONAL ASSOCIATION",2026-03-31
1016857,3392.0,3392000.0,CITIZENS BANK OF LAS CRUCES,2025-06-30
1016857,4240.0,4240000.0,CITIZENS BANK OF LAS CRUCES,2025-09-30
1016857,4240.0,4240000.0,CITIZENS BANK OF LAS CRUCES,2025-12-31
1016857,1600.0,1600000.0,CITIZENS BANK OF LAS CRUCES,2026-03-31
1017425,1538.0,1538000.0,"KILLBUCK SAVINGS BANK COMPANY, THE",2025-06-30
1017425,1461.0,1461000.0,"KILLBUCK SAVINGS BANK COMPANY, THE",2025-09-30
1017425,1384.0,1384000.0,"KILLBUCK SAVINGS BANK COMPANY, THE",2025-12-31
1017425,538.0,538000.0,"KILLBUCK SAVINGS BANK COMPANY, THE",2026-03-31
1017555,512.0,512000.0,FIRST COMMUNITY BANK,2025-06-30
1017555,487.0,487000.0,FIRST COMMUNITY BANK,2025-09-30
1017555,540.0,540000.0,FIRST COMMUNITY BANK,2025-12-31
1017939,4769.0,4769000.0,UNITED COMMUNITY BANK,2025-06-30
1017939,5859.0,5859000.0,UNITED COMMUNITY BANK,2025-09-30
1017939,58984.0,58984000.0,UNITED COMMUNITY BANK,2025-12-31
1017939,99322.0,99322000.0,UNITED COMMUNITY BANK,2026-03-31
1018927,32893.0,32893000.0,1ST SECURITY BANK OF WASHINGTON,2025-06-30
1018927,29565.0,29565000.0,1ST SECURITY BANK OF WASHINGTON,2025-09-30
1018927,38488.0,38488000.0,1ST SECURITY BANK OF WASHINGTON,2025-12-31
1018927,26075.0,26075000.0,1ST SECURITY BANK OF WASHINGTON,2026-03-31
106359,257.0,257000.0,FIRST FIDELITY BANK,2026-03-31
107244,3163310.0,3163310000.0,BANK OZK,2025-06-30
107244,2586860.0,2586860000.0,BANK OZK,2025-09-30
107244,2742514.0,2742514000.0,BANK OZK,2025-12-31
107244,3057519.0,3057519000.0,BANK OZK,2026-03-31
