rssd_id,bank_name,search_term
852218,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",Jpmorgan Chase Bank
451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION",Wells Fargo Bank
480228,"BANK OF AMERICA, NATIONAL ASSOCIATION",Bank Of America
2182786,GOLDMAN SACHS BANK USA,Goldman Sachs Bank Usa
476810,"CITIBANK, N.A.",Citibank
1456501,"MORGAN STANLEY BANK, N.A.",Morgan Stanley Bank
817824,"PNC BANK, NATIONAL ASSOCIATION",Pnc Bank
504713,U.S. BANK NATIONAL ASSOCIATION,U.S. Bank
852320,TRUIST BANK,Truist Bank
112837,"CAPITAL ONE, NATIONAL ASSOCIATION",Capital One
491224,FIRST-CITIZENS BANK & TRUST COMPANY,First-Citizens Bank & Trust Company
35301,STATE STREET BANK AND TRUST COMPANY,State Street Bank And Trust Company
280110,KEYBANK NATIONAL ASSOCIATION,Keybank
75633,BMO BANK NATIONAL ASSOCIATION,Bmo Bank
3303298,"CITIZENS BANK, NATIONAL ASSOCIATION",Citizens Bank
2735146,"EVERBANK, NATIONAL ASSOCIATION",Everbank
3138146,WESTERN ALLIANCE BANK,Western Alliance Bank
12311,"HUNTINGTON NATIONAL BANK, THE",Huntington National Bank
501105,MANUFACTURERS AND TRADERS TRUST COMPANY,M&T Bank
233031,REGIONS BANK,Regions Bank
723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",Fifth Third Bank
497404,"TD BANK, NATIONAL ASSOCIATION",Td Bank
2618780,TEXAS CAPITAL BANK,Texas Capital Bank
2917317,AXOS BANK,Axos Bank
413208,"HSBC BANK USA, NATIONAL ASSOCIATION",Hsbc Bank Usa
485559,FIRST HORIZON BANK,First Horizon Bank
63069,CITY NATIONAL BANK,City National Bank
1842065,CIBC BANK USA,Cibc Bank Usa
541101,"BANK OF NEW YORK MELLON, THE",Bank Of New York Mellon
963945,MERCHANTS BANK OF INDIANA,Merchants Bank Of Indiana
761806,"WEBSTER BANK, NATIONAL ASSOCIATION",Webster Bank
197478,EAST WEST BANK,East West Bank
3212149,"UBS BANK USA, NATIONAL ASSOCIATION",Ubs Bank Usa
2354985,CUSTOMERS BANK,Customers Bank
2489805,"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION",Morgan Stanley Private Bank
395238,SYNOVUS BANK,Synovus Bank
3284070,ALLY BANK,Ally Bank
494261,BANC OF CALIFORNIA,Banc Of California
210434,"NORTHERN TRUST COMPANY, THE",Northern Trust Company
2193616,RAYMOND JAMES BANK,Raymond James Bank
2737980,NORTHPOINTE BANK,Northpointe Bank
249612,APPLE BANK,Apple Bank
107244,BANK OZK,Bank Ozk
2925666,PINNACLE BANK,Pinnacle Bank
917742,"ASSOCIATED BANK, NATIONAL ASSOCIATION",Associated Bank
60143,COMERICA BANK,Comerica Bank
694904,"FLAGSTAR BANK, NATIONAL ASSOCIATION",Flagstar Bank
3221468,VERITEX COMMUNITY BANK,Veritex Community Bank
3938186,"BANKUNITED, NATIONAL ASSOCIATION",Bankunited
