"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	9	40													11	3													true	true	
242	105	89													31	35													true	true	
279			17	698	35	4273	32	15087	111	2165	13	1513	7	943			14	794	24	3224	6	1753	4	74	0	0	0	0	false	false	
354			5	212	10	1897	22	12664	12	327	5	620	5	1218			3	170	2	287	3	1368	7	232	1	135	0	0	false	false	
457			6	169	12	1407	22	7306	55	1685	15	1839	15	2792			7	296	9	954	7	984	49	1099	11	1089	7	1043	false	false	
505			5	205	38	5586	61	23928	130	2667	63	5034	43	7021															false	false	
1155			43	1490	49	5502	73	30582	215	4967	71	6379	72	22088			10	285	32	3812	25	6743	102	2348	34	3245	11	2154	false	false	
1351			146	5009	49	6088	33	13553	257	6177	40	4872	22	6651			26	1043	17	2218	1	387	100	2168	9	790	4	1315	false	false	
1454			24	1497	50	6277	91	35282	361	8695	87	7520	118	29794			2	117	11	1076	8	2023	26	729	9	910	3	602	false	false	
1669			126	6165	78	10305	91	31975	423	10367	60	6360	33	8294			0	0	0	0	0	0	181	3817	15	1256	5	910	false	false	
1856			10	438	3	279	3	1494	31	1053	5	630	2	251			3	59	9	1379	1	190	48	1280	6	629	1	351	false	false	
