"IDRSSD"	RIADA491	RIADB904	RIADB905	RIADB906	RIADB907	RIADB909	RIADB910	RIADB911	RIADB912	RIADB947	RIADB948	RIADB949	RIADB950	RIADB951	RIADB952	RIADB953	RIADB954	RIADB955	RIADB956	RIADB957	RIADB958	RIADB959	RIADB960	RIADB961	RIADC058	RIADJ315	RIADJ316	
	NET TRUST INCOME (LOSS)	PERSONAL TRUST AND AGENCY ACCOUNTS	EMPLOYEE BENEFIT-DEFINED CONTRIBUTN	EMPLOYEE BENEFIT-DEFINED BENEFIT	OTHER RETIREMENT ACCOUNTS	CUSTODY AND SAFEKEEPING ACCOUNTS	OTH FIDUCIARY/RELATED SERVICES INCME	PLUS:INTRACMPNY INCM CRDTS FOR FIDUC	FIDUCIARY/RELTD SRVCS INCM-FRGN OFFS	PRSNL TRST/AGCY ACCTS-GROSS LOSS,ETC	PRSNL TRST/AGCY ACCTS-GROSS LOSS NON	PERSONAL TRUST/AGCY ACCTS-RECOVERIES	RETIREMT RLTD TRST,ETC-GROSS LOSS MN	RETIREMT RLTD TRST,ETC-GROSS LOS NON	RETIREMT RELATED TRST,ETC-RECOVERIES	INVMT MNGEMT AGCY ACCTS-GROS LOS MNG	INVMT MNGEMT AGCY ACCTS-GROS LOS NON	INVTMT MNGEMT AGCY ACCTS-RECOVERIES	OTH FIDU ACCTS/RLTD SVCS-GROS LOS MN	OTH FID ACCTS/RLTD SVCS-GROS LOS NON	OTH FIDU ACCTS/RLTD SVCS-RECOVERIES	TOT FIDU SETTLEMTS,ETC-GROS LOSS MN	TOT FIDU SETTLEMTS,ETC-GROS LOSS NON	TOT FIDU SETTLEMENTS,ETC-RECOVERIES	LESS: EXPENSES	FID REL SRVC INC INV MGMT ADVIS AGY 	FID REL SRVC INC FOUND ENDW TR AGY A	
37																												
242																												
279																												
354																												
457																												
505																												
1155																												
1351																												
1454		506	500	0	539	0	0																			1300	71	
1669																												
1856																												
2161																												
2732																												
2750																												
3252																												
3458																												
3720																												
3971																												
4231																												
5069																												
5135																												
5210		350	0	0	452	53	5																			831	66	
5461																												
5751																												
6039																												
6329																												
7009	66787	16871	6	313	0	96	48187																			1070	244	
7045																												
7072																												
7456																												
7634																												
8462																												
8631																												
9357																												
9553																												
9807		163	0	0	55	12	0																			0	10	
9955																												
10250																												
10849																												
11145																												
11640																												
11837																												
12030																												
12142																												
12311		29696	27	0	15237	4835	0		0																	47617	4333	
12647																												
12946		1604	0	0	280	52	47																			0	66	
13103																												
13251																												
13457																												
14155																												
14650																												
14753																												
14865																												
14977																												
16551																												
17110		5389	829	344	5537	0	181																			18962	3570	
17147		4915	965	152	1877	376	0																			4491	669	
17259																												
17950																												
17978																												
18050																												
18827																												
18836																												
18854																												
19356																												
19936																												
19972																												
20053																												
20633																												
20857																												
21256																												
21359																												
21658																												
22048																												
22543																												
22552																												
22730																												
23456																												
23504																												
23643																												
23755																												
24006																												
24378																												
24659																												
24949																												
25357																												
25647																												
26765																												
27070																												
27614																												
27847																												
28013																												
28152																												
28675																												
28732																												
29476																												
29636																												
29878																												
30052																												
31134																												
31255																												
31657																												
31826																												
31835																												
32234																												
32766																												
32971																												
33147																												
33259																												
33370																												
33839																												
33857																												
34434																												
34537		2070	0	0	552	0	70																			3564	100	
34555																												
34742																												
35057																												
35301		1000	137000	118000	21000	1524000	0		1127000																	140000	29000	
35646																												
35879																												
36933																												
37051																												
37341																												
37435		238	69	1	1050	0	0																			1492	162	
37640		1454	296	204	1139	131	1																			2223	320	
37659																												
37949																												
38740																												
39327																												
39756																												
40033																												
40499																												
40855																												
41553																												
41629																												
41825																												
42037																												
42354																												
42372																												
42420		1178	12	170	1433	40	13																			2849	356	
42448																												
42457																												
43052																												
43351																												
43856																												
43959																												
44040																												
44433																												
44741																												
44750																												
44929																												
45056																												
45458																												
45551		70	0	0	1	0	0																			5	1	
45560		4506	15	146	124	191	0																			577	113	
45775																												
46053																												
46941																												
47247																												
47500																												
48057																												
48374																												
48440																												
49054																												
49148																												
49241		273	74	0	164	64	0																			155	55	
49652																												
49858																												
49951																												
50144																												
50461																												
51253																												
51356																												
51459																												
51842																												
52719	41929	0	0	0	0	0	314673	0																	272744	0	0	
52951																												
53051																												
54058																												
54656																												
54973																												
55336																												
55635																												
55653																												
55970																												
56258																												
56351		1403	64	0	354	50	0																			1959	408	
56548																												
56717																												
57451																												
58225																												
58243		5199	3040	83	203	53	3																			780	393	
58355																												
58551																												
58636																												
58757																												
58971		5840	311	0	2047	224	0																			6524	581	
59316																												
59352																												
59370																												
59754																												
60143		12000	0	2000	4000	7000	4000		1000																	20000	2000	
60330																												
60545																												
60554																												
60648																												
61122		935	233	293	1164	18	12																			1925	129	
61355		43	0	0	11	21	35																			32	179	
61757																												
61832		1018	43	0	475	86	0																			1916	425	
61953																												
62044																												
62110		4437	0	0	0	0	0																			0	89	
62147																												
63050																												
63069		39987	1290	354	6256	1036	0		0																	13977	2401	
63201																												
63573																												
63733																												
64150		851	0	0	2	41	0																			49	0	
64552																												
64730																												
65205		361	0	0	65	12	0																			312	500	
65559		883	0	0	0	4	0																			0	22	
65858		419	0	0	274	36	0																			604	27	
66154																												
66275																												
67142																												
67151																												
67209																												
67254																												
67656																												
67870																												
68671																												
68756																												
68831																												
69333		597	0	0	362	93	103																			682	0	
69678		1093	201	5	1513	93	0																			2756	99	
70218																												
70414																												
70638																												
70955																												
71073																												
71457																												
71859																												
72258		427	0	0	82	2	0																			145	4	
72351																												
72454																												
72678																												
73116																												
73152																												
73554																												
73956																												
74056																												
74140		736	0	14	223	139	0																			516	98	
74403																												
74449																												
75259																												
75446																												
75455																												
75633		32410	264	0	18680	875	12		0																	80907	3708	
75651																												
76153																												
76443																												
76854																												
77150																												
77253																												
77422																												
77851		1048	1317	0	951	64	207																			1969	173	
78157																												
78241																												
78559																												
79042																												
79127																												
79145																												
79257																												
79855																												
80150																												
80374																												
80431																												
81175																												
82033																												
82257																												
82350																												
83375																												
83638		649	0	0	15	0	610		0																	0	0	
83834																												
83852																												
83955																												
84046																												
84541																												
85052																												
85472																												
85931																												
86349																												
86675																												
87047																												
87234																												
87476																												
87579																												
88231																												
88259																												
88352																												
88455		786	0	0	0	0	0																			0	0	
89032																												
89135																												
89854																												
89957																												
90047																												
90177																												
90328																												
90337																												
90579																												
91615																												
91754																												
91950																												
92144																												
92676																												
92706																												
92902																												
93244																												
93543		1095	25	0	535	2	0																			1049	13	
93619		0	0	3354	0	7470	0		0																	0	0	
94139																												
94522																												
94755																												
94858																												
95051																												
95677																												
96553																												
97055																												
97279																												
97457																												
97804																												
97943																												
98351																												
98463																												
98717																												
99143																												
99376																												
99442																												
99536																												
99853																												
100236																												
100357																												
100562																												
100777																												
100843																												
101037																												
101439																												
101671																												
101738																												
101952																												
102333																												
102342																												
102557																												
102874																												
103134																												
104234																												
104542																												
104971																												
105026																												
105473		859	162	52	531	15	0																			1164	17	
105530																												
106359																												
106452																												
106676																												
107244		2137	200	96	457	131	0																			1460	29	
107570																												
107758																												
108072																												
108269																												
108652																												
108746																												
108951																												
109136																												
109154																												
109453																												
109574																												
109659																												
110413																												
110936																												
110945																												
110972																												
111157																												
111205																												
111942																												
112163		388	0	0	109	279	3																			514	0	
112332																												
112510																												
112556																												
112837																												
113003																												
113030																												
113441																												
113601																												
113740																												
114149																												
114260		342	0	0	47	62	8																			1000	0	
114457																												
114774																												
114840																												
114859																												
115146																												
115575																												
116358																												
116554																												
116741																												
117038																												
117074																												
117458																												
117775																												
118156																												
118660																												
118736																												
119153																												
119779																												
119872																												
120476																												
120542																												
120609																												
120953																												
121642		709	1287	61	861	59	0																			1324	172	
121651																												
121914																												
122153																												
122546																												
123075																												
123374																												
124344																												
124830																												
125154																												
125855																												
125873																												
126012																												
126049																												
126375																												
126553		636	0	0	1124	22	58																			1078	136	
126834																												
127055																												
127224																												
128258																												
128904		17093	87	7	4993	173	694																			6898	3774	
129349																												
129358																												
129732		472	1	0	211	54	44																			1278	96	
129853																												
129910																												
130345																												
130541		520	123	4	617	13	10																			1177	15	
131436																												
131717																												
131940																												
132107		630	9	55	258	1	40																			285	183	
132451																												
132778																												
132938																												
133579																												
133850		432	95	0	180	23	12																			228	0	
133971																												
134156																												
134437		250	0	79	3	0	0																			21	75	
134455																												
134848																												
135836																												
135854																												
136048																												
136338																												
136655																												
137205																												
137447																												
137456																												
137559																												
137643																												
137652																												
137915		88	0	338	8	94	0																			588	60	
138051																												
138257																												
138556																												
139133																												
139478																												
139553																												
139656		159	0	0	151	0	0																			553	60	
139740		928	0	0	128	21	0																			471	7	
139843																												
140157																												
140362																												
140634																												
141350																												
141556																												
141677																												
141958																												
142049																												
142179																												
142955																												
143372																												
143662	313	2001	17	38	394	41	0	0																	4016	1560	278	
143859																												
143952																												
144034																												
144052																												
144155																												
144678																												
144856		1349	9	5	602	171	169																			958	294	
144913																												
145059																												
145545																												
145554																												
145741																												
145844																												
146056																												
146663																												
147651																												
147679																												
147857																												
147923																												
148171																												
148238																												
148340																												
148470																												
148715																												
148920																												
149150																												
150035		491	91	461	443	314	0																			455	91	
150044																												
150727																												
151957																												
152057																												
152253																												
152440																												
153054																												
153353																												
154154																												
154770																												
155759																												
156457																												
156970																												
157155																												
157379																												
157650																												
157744																												
157856																												
158376																												
158741																												
159636																												
159645																												
159953																												
159971																												
160360		2066	0	0	26	1	0																			198	0	
160454																												
160959																												
161273																												
161602		4034	464	49	2708	450	0																			4510	194	
162337																												
163343																												
163549																												
