"IDRSSD"	FDIC Certificate Number	OCC Charter Number	OTS Docket Number	Primary ABA Routing Number	Financial Institution Name	Financial Institution Address	Financial Institution City	Financial Institution State	Financial Institution Zip Code	Financial Institution Filing Type	Last Date/Time Submission Updated On
37	10057	0	16553	61107146	BANK OF HANCOCK COUNTY	12855 BROAD STREET 	SPARTA	GA	31087	051	2026-01-13T10:13:21
242	3850	0	0	81220537	FIRST COMMUNITY BANK XENIA-FLORA	260 FRONT STREET 	XENIA	IL	62899	051	2025-10-07T15:51:40
279	28868	0	2523	311972526	BROADSTREET BANK, SSB	215 W BROAD 	MINEOLA	TX	75773	051	2025-10-29T17:32:51
354	14083	0	0	101107475	BISON STATE BANK	223 MAIN STREET 	BISON	KS	67520	051	2025-10-22T15:39:10
457	10202	0	0	91208332	LOWRY STATE BANK	400 FLORENCE AVE. 	LOWRY	MN	56349	051	2025-10-30T11:06:17
505	6959	1253	0	21304675	BALLSTON SPA NATIONAL BANK	87 FRONT STREET 	BALLSTON SPA	NY	12020	051	2025-12-18T12:23:46
1155	17639	0	0	104900116	RVR BANK	1005 EAST 23RD 	FREMONT	NE	68025	051	2025-10-28T16:27:41
1351	9392	0	0	81513969	BANK OF GRANDIN	403 5TH STREET 	GRANDIN	MO	63943	051	2025-10-24T16:41:25
1454	19184	15359	0	102301199	HILLTOP NATIONAL BANK	300 COUNTRY CLUB ROAD 	CASPER	WY	82609	051	2025-10-29T15:04:44
1669	3384	13541	0	111900578	LIBERTY NATIONAL BANK IN PARIS, THE	305 LAMAR AVENUE 	PARIS	TX	75460	051	2025-10-15T15:58:07
1856	22430	0	0	103105446	WASHITA STATE BANK	701 S HIGHWAY 44 	BURNS FLAT	OK	73624	051	2025-10-23T14:04:12
2161	23597	17106	0	111909870	LAMAR NATIONAL BANK	200 S. COLLEGIATE DRIVE 	PARIS	TX	75460	051	2026-01-27T12:02:22
2732	17230	14688	0	71004446	ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION	3400 WEST LAWRENCE AVENUE 	CHICAGO	IL	60625	051	2025-10-21T16:40:09
2750	5408	0	0	104901940	GENOA COMMUNITY BANK	502 WILLIARD AVENUE 	GENOA	NE	68640	051	2025-10-28T15:09:51
3252	5410	8521	0	104102781	FIRST NATIONAL BANK OF GORDON, THE	134 NORTH MAIN 	GORDON	NE	69343	051	2025-10-29T17:27:57
3458	16103	0	0	101918169	FARMBANK	1 SOUTH LINCOLN STREET 	GREEN CITY	MO	63545	051	2025-10-26T12:09:22
3720	15671	0	0	53206738	BANK OF CLARENDON, THE	106 SOUTH BROOKS STREET 	MANNING	SC	29102	051	2025-10-27T17:00:41
3971	28865	702518	2518	291970033	MIDCOUNTRY BANK	7825 WASHINGTON AVENUE SOUTH, SUITE 120 	BLOOMINGTON	MN	55439	051	2025-10-27T15:10:34
4231	16440	0	0	61212345	FARMERS AND MERCHANTS BANK	104 NORTH MAIN STREET 	SYLVANIA	GA	30467	051	2025-10-17T12:01:30
5069	24332	0	0	122237599	FIRST CREDIT BANK	9255 SUNSET BOULEVARD 	WEST HOLLYWOOD	CA	90069	051	2025-10-27T15:16:40
5135	15496	0	14097	61202931	FIRST STATE BANK OF BLAKELY	2213 SOUTH MAIN STREET 	BLAKELY	GA	39823	051	2025-10-28T19:30:05
5210	7506	0	0	31309945	ACNB BANK	16 LINCOLN SQUARE 	GETTYSBURG	PA	17325	051	2025-10-30T08:28:53
5461	19434	0	0	121125660	BAC COMMUNITY BANK	517 EAST WEBER AVENUE 	STOCKTON	CA	95202	051	2025-10-30T13:37:42
5751	15194	0	0	101106625	KCB BANK	221 NORTH MAIN STREET 	LAKIN	KS	67860	051	2025-10-24T14:01:39
6039	15699	0	14102	61211964	PINELAND BANK	501 W 12TH ST 	ALMA	GA	31510	041	2025-10-29T17:13:38
6329	9923	0	13430	53206741	ANDERSON BROTHERS BANK	101 NORTH MAIN STREET 	MULLINS	SC	29574	041	2025-12-12T10:21:09
7009	20015	0	0	21203970	BESSEMER TRUST COMPANY	100 WOODBRIDGE CENTER DRIVE 	WOODBRIDGE	NJ	070951191	051	2025-10-29T18:08:49
7045	5779	0	0	83905326	PEOPLES BANK, THE	100 NORTH MAIN STREET 	BROWNSTOWN	IN	47220	041	2025-11-03T13:35:14
7072	28870	702528	2528	221972234	WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION	23 WALLKILL AVE. 	WALLKILL	NY	12589	051	2025-10-29T16:13:06
7456	13962	0	0	104110977	BANK OF HARTINGTON	229 NORTH BROADWAY 	HARTINGTON	NE	68739	051	2025-11-13T11:32:25
7634	15904	0	0	61112034	FOUR COUNTY BANK, THE	959 MAIN STREET 	ALLENTOWN	GA	31003	051	2025-10-30T11:46:55
8462	3388	11595	0	111318584	PERRYTON NATIONAL BANK, THE	825 SOUTH MAIN STREET 	PERRYTON	TX	790703556	051	2025-10-20T17:36:13
8631	847	0	0	51501765	PLEASANTS COUNTY BANK, THE	215 WASHINGTON STREET 	SAINT MARYS	WV	26170	051	2025-10-27T16:36:52
9357	20268	0	0	91014924	SCALE BANK	7600 PARKLAWN AVENUE 	EDINA	MN	55435	051	2025-10-29T17:44:23
9553	14311	0	0	104907708	ADAMS COUNTY BANK	401 N SMITH AVE 	KENESAW	NE	68956	051	2025-10-21T17:31:07
9807	6423	0	9315	21204416	AMBOY BANK	3590 U.S. HIGHWAY 9 SOUTH 	OLD BRIDGE	NJ	08857	041	2025-10-28T09:35:47
9955	15899	0	0	101101992	FUSION BANK	116 WEST 6TH STREET 	LARNED	KS	67550	051	2025-10-20T09:42:14
10250	1607	0	0	91903831	BANK OF ELK RIVER, THE	630 MAIN ST. 	ELK RIVER	MN	55330	051	2025-10-07T16:43:43
10849	15050	0	0	82902003	FIRST STATE BANK	101 SOUTH CENTER STREET 	LONOKE	AR	72086	051	2025-10-27T14:11:22
11145	8172	0	11663	72405604	LAKE-OSCEOLA STATE BANK	790 NORTH MICHIGAN AVENUE 	BALDWIN	MI	49304	041	2025-10-28T10:53:32
11640	19070	15284	0	84201029	FIRST NATIONAL BANK OF CLARKSDALE	402 EAST SECOND STREET 	CLARKSDALE	MS	38614	051	2025-10-30T12:19:57
11837	5709	0	17705	61107861	FARMERS BANK, THE	202 SOUTH MAIN STREET 	GREENSBORO	GA	30642	051	2025-11-04T10:44:32
12030	17011	0	12295	61212866	FNB SOUTH	423 WEST 12TH STREET 	ALMA	GA	31510	051	2025-10-27T15:23:53
12142	12201	0	0	84202280	CLEVELAND STATE BANK, THE	110 COMMERCE AVENUE 	CLEVELAND	MS	38732	051	2025-10-15T11:48:54
12311	6560	7745	0	44000024	HUNTINGTON NATIONAL BANK, THE	17 SOUTH HIGH STREET 	COLUMBUS	OH	43215	031	2025-10-30T09:22:53
12647	10012	0	0	75904377	PORTAGE COUNTY BANK, THE	1155 COUNTY ROAD D 	ALMOND	WI	549099777	051	2025-10-28T14:21:21
12946	1291	0	0	82901635	FARMERS BANK & TRUST COMPANY	200 EAST MAIN STREET 	MAGNOLIA	AR	71753	051	2025-12-09T10:48:59
13103	23622	0	8406	211370859	BRISTOL COUNTY SAVINGS BANK	35 BROADWAY 	TAUNTON	MA	02780	041	2025-10-30T10:28:13
13251	10185	0	0	91907374	ELYSIAN BANK	121 EAST MAIN STREET 	ELYSIAN	MN	56028	051	2026-02-12T11:39:09
13457	5425	0	0	104107786	LEGENDS WEST BANK	302 MAIN STREET 	LEWELLEN	NE	69147	051	2025-10-27T11:44:57
14155	9378	0	0	101902146	F & C BANK	1006 EAGLE CREST DRIVE 	HOLDEN	MO	64040	051	2026-02-18T14:37:48
14650	16795	0	0	103112730	ALL CAPITAL BANK	124 EAST MAIN STREET 	LOCUST GROVE	OK	74352	051	2025-11-07T12:20:23
14753	18101	0	0	101104711	FARMERS STATE BANK OF BUCKLIN, KANSAS, THE	111 NORTH MAIN STREET 	BUCKLIN	KS	67834	051	2025-10-24T15:13:35
14865	16243	0	0	123203535	BANK OF EASTERN OREGON	279 NORTH MAIN STREET 	HEPPNER	OR	97836	051	2025-11-17T19:28:21
14977	30291	0	0	311372252	FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB	301 X.I.T. DRIVE 	LITTLEFIELD	TX	79339	041	2025-10-16T11:39:04
