"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL ROU)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ACL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL ROU)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ACL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	
37																																							11007	947	46453	0	0	292	0	2543	80515	67132	244	67376	0	815	0	0	13139	1200	80515	0	0	12750	0	0	3500	0	20873	46259			0	20088	19273	-4311	0	0	0	0	13139	0	0	
242																																							1590	858	18413	0	0	476	0	596	54129	46038	85	49073	0	186	2950	0	5056	120	54129	0	0	6022	0	0	120	0	12196	33842			0	30524	30338	-1206	1858	0	0	0	5056	0	0	
279																																							1297	5036	85896	0	247	12045	9271	13345	438276	338800	3229	390800	0	3247	48771	0	47476	1	438276	0	0	33629	0	0	17101	0	53828	284972			0	288176	284929	-3255	7136	0	0	0	47476	0	19074	
354																																							575	866	2227	0	0	4826	0	3079	119042	90787	888	108179	0	805	16504	0	10863	100	119042	0	0	-1857	0	0	12617	16264	25069	65718			0	76246	75441	3	15764	0	0	0	10863	0	0	
457																																							1263	1020	490	0	0	741	226	1472	85765	70015	298	77813	0	1162	7500	0	7952	60	85765	0	0	3966	0	0	3940	0	10709	59306			0	79114	77952	-14	2589	0	0	0	7952	12	0	
505																																							3847	16589	73058	0	1652	11410	0	22943	914207	807619	9393	837012	52	8646	20000	0	77143	6480	914207	0	0	51994	0	0	18403	0	178427	629192			0	793354	784708	266	0	0	0	0	77195	0	0	
1155																																							10126	10527	79723	0	9160	7700	0	14496	554876	494299	3477	497776	0	6984	0	0	57100	1600	554876	0	0	35122	0	0	23696	454	65379	428920			0	429674	422690	-3318	0	0	0	0	57100	0	0	
1351																																							4820	2730	7363	0	0	3962	113	3161	231405	197088	1487	198575	0	1450	0	0	32830	240	231405	0	0	32288	0	0	530	0	30801	166287			0	146940	145490	-228	0	0	0	0	32830	0	63766	
1454																																							40117	24946	399844	0	0	3273	0	18636	1082429	984384	4693	989077	0	7592	0	0	93352	1000	1082429	0	0	132913	0	0	1214	426	314188	670196			0	602584	594992	-41775	0	0	0	0	93352	195	0	
