"IDRSSD"	RCFD0010	RCFD0022	RCFD0070	RCFD0082	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0080	RCON0082	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BALANCES WITH BKS IN FGN COUNTRIES	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	
37												
242												
279												
354												
457												
505												
1155												
1351												
1454												
1669												
1856												
2161												
2732												
2750												
3252												
3458												
3720												
3971												
4231												
5069												
5135												
5210												
5461												
5751												
6039						56993	0	0	4860	45443	6690	
6329						211214	0	0	20072	29178	161964	
7009												
7045												
7072												
7456												
7634												
8462												
8631												
9357												
9553												
9807						288029	7199	0	6417	6822	267591	
9955												
10250												
10849												
11145						43448	4	0	2403	5163	35878	
11640												
11837												
12030												
12142												
12311	13688864	2141388	81404	423979	11042093	13641362	1313132	33902	828256	423979	11042093	
12647												
12946												
13103						124948	18684	0	3940	5026	97298	
13251												
13457												
14155												
14650												
14753												
14865												
14977												
16551												
17110												
17147						256786	998	0	56077	59694	140017	
17259												
17950												
17978												
18050												
18827												
18836												
18854						256703	34795	0	4481	20080	197347	
19356												
19936												
19972												
20053												
20633												
20857												
21256												
21359												
21658												
22048												
22543												
22552												
22730												
23456												
23504						1711755	368	0	62655	45199	1603533	
23643												
23755												
24378												
24659												
24949												
25357												
25647						63296	0	0	1814	10117	51365	
26765												
27070												
27614												
27847												
28013						131725	0	0	8749	10120	112856	
28152												
28675												
28732												
29476												
29636												
29878												
30052												
31134												
31255						49678	4907	0	1287	1040	42444	
31657												
31826						52468	10	0	5673	2354	44431	
31835												
32234												
32766												
32971												
33147												
33259												
33370												
33839												
33857						11000	90	0	2564	1546	6800	
