"IDRSSD"	RCONG349	RCONG350	RCONG351	RCONG352	RCONG353	RCONG354	RCONG355	RCONG356	RCONG357	RCONG358	RCONG359	RCONG360	RCONG361	RCONG362	RCONG363	RCONG364	RCONG365	RCONG366	RCONG367	RCONG368	RCONG369	RCONG370	RCONG371	RCONG372	RCONG373	RCONG374	RCONG375	RCONHT50	RCONHT51	RCONHT52	RCONHT53	RCONHT54	RCONHT55	RCONHT56	RCONHT57	RCONHT58	RCONHT59	RCONHT60	RCONHT61	RCONK142	RCONK143	RCONK144	RCONK145	RCONK146	RCONK147	RCONK148	RCONK149	RCONK150	RCONK151	RCONK152	RCONK153	RCONK154	RCONK155	RCONK156	RCONK157	RCONMG95	RCONPU98	RCONPU99	RCONPV00	RCONPV01	
	SFP TPS ISS FNC INST HTM FV	SFP TPS ISS FNC INST AFS AMRTZ COST	SFP TPS ISS FNC INST AFS FV	SFP TPS ISS RE INV TR HTM AMRTZ COST	SFP TPS ISS RE INV TRS HTM FV	SFP TPS ISS RE INV TR AFS AMRTZ COST	SFP TPS ISS RE INV TR AFS FV	SFP CORP & SIMILAR LN HTM AMRTZ COST	SFP CORP & SIMILAR LN HTM FV	SFP CORP & SIMILAR LN AFS AMRTZ COST	SFP CORP & SIMILAR LN AFS FV	SFP 1T4 RES MBS I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS I OR G GSE HTM FV	SFP 1T4 RES MBS I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS I OR G GSE AFS FV	SFP 1T4 MBS N I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS N I OR G GSE HTM FV	SFP 1T4 MBS N I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS N I OR G GSE AFS FV	SFP DVRS (MIXED) POOLS SFP HTM AMRTZ	SFP DVRS (MIXED) POOLS SFP HTM FV	SFP DVRS (MIXED) POOLS SFP AFS AMRTZ	SFP DVRS (MIXED) POOLS SFP AFS FV	SFP OTHR CLTRL REF ASSET HTM AMRTZ	SFP OTHR CLTRL REF ASSET HTM FV	SFP OTHR CLTRL REF ASSET AFS AMRTZ	SFP OTHR CLTRL REF ASSET AFS FV	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ	MBS CMRL PT SCTY GUAR FNMA HTM FV	MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ	MBS CMRL PT SCTY GUAR FNMA AFS FV	MBS CMRL PT SCTY OTHR HTM AMTRZ	MBS CMRL PT SCTY OTHR HTM FV	MBS CMRL PT SCTY OTHR AFS AMTRZ	MBS CMRL PT SCTY OTHR AFS FV	MBS CMRL OTHR CMRL GUAR FNMA HTM AMT	MBS CMRL OTHR CMRL GUAR FNMA HTM FV	MBS CMRL OTHR CMRL GUAR FNMA AFS AMT	MBS CMRL OTHR CMRL GUAR FNMA AFS FV	MBS CMRL OTHR CMRL OTHR CMRL HTM AMT	MBS CMRL OTHR CMRL OTHR CMRL HTM FV	MBS CMRL OTHR CMRL OTHR CMRL AFS AMT	MBS CMRL OTHR CMRL OTHR CMRL AFS FV	Amortized cost of available-for-sale	Structured financial products guaran	Structured financial products guaran	Structured financial products guaran	Structured financial products guaran	
37																												0	0	4705	3948	0	0	5722	4803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
242																												0	0	5851	5590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
279																												1067	1065	0	0	16808	15098	13565	12863	0	0	0	0	0	0	1476	1498	0	0	0	0	0	0	0	0	0	0	22844	22583		0	0	0	0	
354																												0	0	1104	1103	0	0	0	0	0	0	0	0	0	0	498	502	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
457																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
505																												0	0	0	0	0	0	49836	49145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
1155																												0	0	8925	8896	0	0	7372	7425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481	507	0	0	0	0		0	0	0	0	
1351																												54000	52072	6996	6787	0	0	511	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
1454																												0	0	144656	137582	0	0	138801	121444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
1669																												0	0	0	0	0	0	17993	15639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	911	920	0	0	0	0		0	0	0	0	
1856																												0	0	222	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
2161																												0	0	0	0	0	0	21651	20814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12748	11818		0	0	0	0	
2732																												0	0	2057	1990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
2750																												0	0	5515	5256	0	0	147	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
3252																												0	0	7905	7893	0	0	2239	2163	0	0	0	0	0	0	18181	18281	0	0	0	0	0	0	28280	28025	0	0	0	0		0	0	0	0	
3458																												0	0	822	742	0	0	5005	4471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
3720																												7746	7386	9267	9325	0	0	69313	63113	0	0	0	0	0	0	4414	4571	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
3971																												0	0	56207	51529	0	0	30892	30031	0	0	0	0	0	0	16995	17229	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
4231																												0	0	3416	3436	0	0	42429	41116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
5069																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
5135																												0	0	24100	24014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
5210																												0	0	148469	137773	1238	1204	163697	149808	0	0	0	0	0	0	92877	89725	0	0	0	0	0	0	512	507	0	0	0	0		0	0	0	0	
5461																												27712	26925	28526	27813	87685	79533	3529	3340	0	0	0	0	372	351	1571	1507	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
5751																												0	0	2011	1989	0	0	12377	12510	0	0	1993	1993	0	0	1011	1018	0	0	0	0	0	0	0	0	0	0	6230	6229		0	0	23	23	
6039																												0	0	3487	3422					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
6329																												0	0	56052	55919					0	0	0	0	0	0	1501	1518	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
7009																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
7045																												0	0	1000	967					0	0	1001	1001	0	0	244	224	0	0	0	0	0	0	5170	5185	0	0	0	0		0	0	0	0	
7072																												0	0	7000	6555	29794	26091	3985	3998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
7456																												0	0	2812	2734	0	0	126	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
7634																												0	0	1068	1036	0	0	5409	5097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
8462																												0	0	32128	31486	0	0	32088	30084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
8631																												0	0	10085	9775	0	0	5857	5261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
9357																												0	0	3548	3443	0	0	9902	9899	0	0	620	617	0	0	12088	12090	0	0	0	0	0	0	0	0	0	0	0	0		0	0	620	617	
9553																												0	0	188	185	0	0	11570	10377	0	0	0	0	0	0	14	14	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
9807																												4997	4977	18265	18211					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
9955																												0	0	20099	19646	0	0	274	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
10250																												0	0	16178	15037	0	0	115660	107391	0	0	0	0	0	0	1456	1468	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
10849																												0	0	12466	12585	0	0	8405	7662	0	0	28	25	0	0	5449	5215	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
11145																												0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26041	24652	574	0	0	0	0	
11640																												0	0	24301	22401	0	0	10547	8563	0	0	0	0	0	0	8159	7545	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
11837																												0	0	8886	8549	0	0	28625	24571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
12030																												0	0	998	995	0	0	0	0	0	0	0	0	76	75	1055	1051	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
12142																												10435	10089	1015	1036	29409	26663	16873	16491	0	0	0	0	4836	4546	4992	4798	0	0	0	0	2204	1728	1683	1559	0	0	0	0		0	0	0	0	
12311																																																													
12647																												21745	20773	0	0	5071	4446	0	0	0	0	0	0	1810	1814	0	0	0	0	0	0	106	99	0	0	0	0	0	0		0	0	0	0	
12946																												0	0	85681	74748	0	0	92619	83049	0	0	56	50	0	0	8976	7857	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
13103																												18449	18449	0	0					0	0	69685	69511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
13251																												0	0	342	339	0	0	1132	1016	0	0	0	0	0	0	718	724	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
13457																												0	0	945	946	0	0	196	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
14155																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
14650																												0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
14753																												0	0	4753	4603	33	33	435	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
14865																												0	0	57470	56080	858	788	23024	23053	497	504	3457	3461	0	0	45058	44888	0	0	0	0	957	998	6543	6469	0	0	0	0		0	0	0	0	
14977																												0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
16551																												0	0	999	993	0	0	404	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
17110																												0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
17147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330430	280175	90304	77897					0	0	0	0	11132	11086	69381	66449	0	0	0	0	5883	5136	11729	11471	0	0	0	0		0	0	0	0	
17259																												0	0	750	733	0	0	4331	3931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
17950																												0	0	3176	2988	0	0	134943	127371	0	0	0	0	0	0	15615	14569	0	0	0	0	0	0	707	643	0	0	0	0		0	0	0	0	
17978																												86909	82454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
18050																												0	0	0	0	0	0	136152	122968	0	0	20862	19859	0	0	0	0	0	0	0	0	0	0	1460	1264	0	0	0	0		0	0	20862	19859	
18827																												0	0	23269	22233	0	0	90247	89846	0	0	10519	10803	0	0	11553	11790	0	0	0	0	0	0	972	957	0	0	0	0		0	0	10519	10803	
18836																												0	0	8536	8558	0	0	6380	6067	0	0	0	0	0	0	510	513	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
18854																												0	0	28	28					0	0	0	0	0	0	7257	6997	0	0	0	0	0	0	1528	1459	0	0	0	0		0	0	0	0	
19356																												0	0	0	0	0	0	1271	1320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
19936																												0	0	16878	16003	26	27	16183	14851	0	0	0	0	0	0	1851	1852	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
19972																												0	0	0	0	33	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
20053																												0	0	864	821	0	0	918	858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
20633																												0	0	9939	9546	0	0	21685	21111	0	0	0	0	0	0	5521	5190	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
20857																												0	0	0	0	0	0	4743	4699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
21256																												0	0	1384	1389	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
21359																												0	0	1792	1686	0	0	8985	7896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
21658																												0	0	10270	10119					0	0	0	0	0	0	179	172	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
22048																												0	0	3662	3416	0	0	24049	21518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
22543																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
22552																												0	0	0	0	0	0	10115	9115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
22730																												0	0	691	657	0	0	59575	56841	0	0	0	0	0	0	6685	6625	0	0	0	0	0	0	813	638	0	0	0	0		0	0	0	0	
23456																												0	0	0	0	0	0	41126	37276	0	0	0	0	0	0	986	1017	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
