"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
37	0	0					58	0	46453					0	0	0			0	37702	0	0										0		
242	0	3100					204	0	18413					2950	0	0			0	9328	0	0										0		
279	0	0					2741	19074	85896					48771	0	0			1199	13568	0	0										0		
354	0	600					1013	0	2227					16504	0	0			0	0	0	0										0		
457	0	490					436	0	490					7500	0	0			0	0	0	0										12		
505	0	4933					5407	0	73058					20000	0	0			0	11951	0	0										0		
1155	0	5031					1067	0	79723					0	0	0			0	52818	0	0										0		
1351	0	0					134	63766	7363					0	0	0			9766	0	0	0										0		
1454	0	10704					816	0	399844					0	0	0			0	112277	0	0										195		
1669	0	57577					1184	13696	75006					0	0	0			13696	0	0	0										0		
1856	0	0					223	1000	7882					2000	0	0			0	0	0	0										0		
2161	0	0					2971	0	82610					0	0	0			0	33900	0	0										0		
2732	0	21779					1538	0	38090					0	0	0			0	14021	0	0										0		
2750	0	0					310	0	13207					305	0	0			0	7810	0	0										63		
3252	0	40855					444	0	223739					0	0	0			0	55237	0	0										0		
3458	0	94					193	791	16933					0	0	0			791	8329	0	500										0		
3720	0	17218					331	39288	106317					0	0	0			31542	5120	0	0										0		
3971	0	53407					2296	0	206372					30500	0	0			0	9115	0	0										907		
4231	0	4012					0	1300	70805					0	0	0			0	22241	0	0										0		
5069	0	1956					0	0	5711					0	0	0			0	1725	0	0										1112		
5135	0	74209					1374	0	100270					19072	0	0			0	2047	0	0										0		
5210	0	0					14462	63408	462217					285000	0	0			62170	4038	0	29290										945		
5461	3970	0					4516	220963	35879					17458	0	0			93710	2658	0	0										0		
5751	0	1897					668	6250	101481					0	0	0			0	32890	0	0										0		
6039	0	39035					423	3597	49582					0	0	0			0	1246	0	0										0		
6329	0	0					1386	0	194960					0	0	0			0	12811	0	0										0		
7009	0	371405					0	0	413167					0	0	0			0	41762	0	0										860		
7045	0	2056					669	255	146102					0	0	0			255	60385	0	0										0		
7072	0	2976					2979	36592	38895					17000	0	0			6748	2765	0	0										0		
7456	0	0					836	0	26831					11127	0	0			0	23973	0	0										73		
7634	0	250					101	0	11997					0	0	0			0	5600	0	0										0		
8462	0	985					21	0	86471					0	0	0			0	23916	0	0										0		
