"IDRSSD"	RCFD1248	RCFD1249	RCFD1250	RCFD1251	RCFD1252	RCFD1253	RCFD1254	RCFD1255	RCFD1256	RCFD1403	RCFD1406	RCFD1407	RCFD1583	RCFD1594	RCFD1597	RCFD3505	RCFD3506	RCFD3507	RCFD3529	RCFD3530	RCFD5377	RCFD5378	RCFD5379	RCFD5380	RCFD5381	RCFD5382	RCFD5389	RCFD5390	RCFD5391	RCFD5459	RCFD5460	RCFD5461	RCFD6558	RCFD6559	RCFD6560	RCFDB575	RCFDB576	RCFDB577	RCFDC226	RCFDC240	RCFDC241	RCFDC410	RCFDC411	RCFDF166	RCFDF167	RCFDF168	RCFDF169	RCFDF170	RCFDF171	RCFDHK26	RCFDHK27	RCFDHK28	RCFDK036	RCFDK037	RCFDK038	RCFDK039	RCFDK040	RCFDK041	RCFDK042	RCFDK043	RCFDK044	RCFDK102	RCFDK103	RCFDK104	RCFDK120	RCFDK121	RCFDK122	RCFDK123	RCFDK124	RCFDK125	RCFDK126	RCFDK127	RCFDK128	RCFDK138	RCFDK139	RCFDK140	RCFDK213	RCFDK214	RCFDK215	RCFDK216	RCFDK217	RCFDK218	RCFDK274	RCFDK275	RCFDK276	RCFDK277	RCFDK278	RCFDK279	RCFDK280	RCFDK281	RCFDK282	RCFDPV23	RCFDPV24	RCFDPV25	RCFNB572	RCFNB573	RCFNB574	RCON1226	RCON1227	RCON1228	RCON1248	RCON1249	RCON1250	RCON1254	RCON1255	RCON1256	RCON1403	RCON1406	RCON1407	RCON1583	RCON1594	RCON1597	RCON1606	RCON1607	RCON1608	RCON3493	RCON3494	RCON3495	RCON3499	RCON3500	RCON3501	RCON3505	RCON3506	RCON3507	RCON5380	RCON5381	RCON5382	RCON5398	RCON5399	RCON5400	RCON5459	RCON5460	RCON5461	RCON6558	RCON6559	RCON6560	RCONB575	RCONB576	RCONB577	RCONB834	RCONB835	RCONB836	RCONC226	RCONC229	RCONC230	RCONC236	RCONC237	RCONC238	RCONC239	RCONC240	RCONC241	RCONC410	RCONC411	RCONF166	RCONF167	RCONF168	RCONF172	RCONF173	RCONF174	RCONF175	RCONF176	RCONF177	RCONF178	RCONF179	RCONF180	RCONF181	RCONF182	RCONF183	RCONF661	RCONF662	RCONF663	RCONHK26	RCONHK27	RCONHK28	RCONK036	RCONK037	RCONK038	RCONK039	RCONK040	RCONK041	RCONK042	RCONK043	RCONK044	RCONK102	RCONK103	RCONK104	RCONK105	RCONK106	RCONK107	RCONK108	RCONK109	RCONK110	RCONK111	RCONK112	RCONK113	RCONK114	RCONK115	RCONK116	RCONK117	RCONK118	RCONK119	RCONK120	RCONK121	RCONK122	RCONK123	RCONK124	RCONK125	RCONK126	RCONK127	RCONK128	RCONK130	RCONK131	RCONK132	RCONK138	RCONK139	RCONK140	RCONK213	RCONK214	RCONK215	RCONK216	RCONK217	RCONK218	RCONK257	RCONK258	RCONK259	RCONK274	RCONK275	RCONK276	RCONK277	RCONK278	RCONK279	RCONK280	RCONK281	RCONK282	RCONPV23	RCONPV24	RCONPV25	
	LNS SECD BY RE TO NONUS ADR,PAS DU30	LNS SECD BY RE TO NONUS ADR,PAS DU90	LNS SECD BY RE TO NONUS ADR,NONACCRL	C&I LNS TO US ADDRS,PAS DU 30-89 DYS	C&I LNS TO US ADDRS,PAS DU 90 DYS OR	C&I LNS TO US ADDRS,NONACCRUAL	C&I LNS TO NONUS ADR,PAS DU 30-89 DY	C&I LNS TO NONUS ADR,PAS DU 90 DYS	C&I LNS TO NONUS ADR,NONACCRUAL	TOTAL, NONACCRUAL	TOTAL, PAST DUE 30-89 DAYS, ACCRUING	TOTAL, PAST DUE 90 OR MORE, ACCRUING	LOANS TO FARMERS, NONACCRUAL	LN TO FRMERS,PAST 30-89 DYS, ACCRUIN	LN TO FRMERS,PAST 90 OR MORE,ACCRUIN	OTH ASSETS-PAST DUE 30-89 DYS, ACCRG	OTH ASSETS-PAST DUE 90DYS OR MOR,ACG	OTHER ASSETS-NONACCRUAL	REPLMT COST OF CONTRCTS-PAS DU 30-89	REPLMT COST OF CONTRCTS-PAS DU 90 DY	LNS TO US BKS,ETC.-PAST DU 30-89 DYS	LNS TO US BKS,ETC.-PAST DU 90 DYS OR	LNS TO US BKS,ETC.-NONACCRUAL	LNS TO FOREIGN BKS-PAST DU 30-89 DYS	LNS TO FOREIGN BKS-PAST DU 90 DYS OR	LNS TO FOREIGN BKS-NONACCRUAL	LNS TO FGN GOV,ETC.-PAS DU 30-89 DYS	LNS TO FGN GOV,ETC.-PAS DU 90 DYS OR	LNS TO FGN GOV,ETC.-NONACCRUAL	ALL OTHER LOANS-PAST DU 30-89 DAYS	ALL OTHER LOANS-PAST DU 90 DYS OR MO	ALL OTHER LOANS-NONACCRUAL	COMMCL RE,ETC.-PAST DUE 30-89 DYS,AG	COMMCL RE,ETC.-PAST DUE 90DYS OR MOR	COMMCL RE,ETC.-NONACCRUAL	PAST DUE(30-89DA): CREDIT CARD LOANS	PAST DUE(>=90DAY): CREDIT CARD LOANS	PAST DUE(NONACCR): CREDIT CARD LOANS	LOANS & LEASES HLD FOR SALE-NONACCRL	LNS & LEASES H-F-S PA DU 30-89 DYS	LNS & LEASES H-F-S PA DU 90 DYS MORE	ADDITIONS TO NONACCRUAL ASSETS	N/ACCRUAL ASSETS SOLD DURING QUARTER	LSE INDVDL FOR HSHLD, FMLY, PRSNL 30	LSE INDVDL FOR HSHLD, FMLY, PRSNL > 	LSE INDVDL FOR HSHLD, FMLY, PRSNL NA	ALL OTHR LEASE PAST DUE 30-89 DAYS	ALL OTHR LEASE PAST DUE > 90 DAYS	ALL OTHR LEASE NONACCRUAL	TOTAL LN MOD FIN DFCLTY PD 30 -89	TOTAL LN MOD FIN DFCLTY PD 90	TOTAL LN MOD FIN DFCLTY NONACCRUAL	LN GUAR US , EXCLUD FDIC PD 30 - 89	LN GUAR US , EXCLUD FDIC PD 90	LN GUAR US , EXCLUD FDIC NACRL	GUAR LN EXCL REBOOK GNMA LN PD 30 - 	GUAR LN EXCL REBOOK GNMA LN PD 90	GUAR LN EXCL REBOOK GNMA LN NACRL	REBOOK GNMA LN REPURCH PD 30 - 89	REBOOK GNMA LN REPURCH PD 90	REBOOK GNMA LN REPURCH NACRL	LS SHR FDIC CVRD LS SHAR PD 30 - 89	LS SHR FDIC CVRD LS SHAR PD 90	LS SHR FDIC CVRD LS SHAR NACRL	LN MOD FIN DFCLTY CMRL IND LN US ADR	LN MOD FIN DFCLTY CMRL IND LN US ADR	LN MOD FIN DFCLTY CMRL IND LN US ADR	LN MOD FIN DFCLTY CMRL IND LN NUS AD	LN MOD FIN DFCLTY CMRL IND LN NUS AD	LN MOD FIN DFCLTY CMRL IND LN NUS AD	LN MOD FIN DFCLTY ALL OTHR LN LEASE 	LN MOD FIN DFCLTY ALL OTHR LN LEASE 	LN MOD FIN DFCLTY ALL OTHR LN LEASE 	ITEMIZE LN MOD FIN DFCLTY FINANCE AG	ITEMIZE LN MOD FIN DFCLTY FINANCE AG	ITEMIZE LN MOD FIN DFCLTY FINANCE AG	AUTO LN TO IND HH FAM PD 30 - 89	AUTO LN TO IND HH FAM PD 90	AUTO LN TO IND HH FAM NONACCRUAL	OTHR LN TO IND HH FAM PD 30 - 89	OTHR LN TO IND HH FAM PD 90	OTHR LN TO IND HH FAM NONACCRUAL	ITEMIZE LN MOD FIN DFCLTY CREDIT CAR	ITEMIZE LN MOD FIN DFCLTY CREDIT CAR	ITEMIZE LN MOD FIN DFCLTY CREDIT CAR	ITEMIZE LN MOD FIN DFCLTY AUTO LN HO	ITEMIZE LN MOD FIN DFCLTY AUTO LN HO	ITEMIZE LN MOD FIN DFCLTY AUTO LN HO	ITEMIZE LN MOD FIN DFCLTY OTHR CNSMR	ITEMIZE LN MOD FIN DFCLTY OTHR CNSMR	ITEMIZE LN MOD FIN DFCLTY OTHR CNSMR	Loans to mortgage credit intermediar	Loans to business credit intermediar	Loans to private equity funds -- Dom	PAST DUE (30-89DA): LOANS FGN OFFICE	PAST DUE (>=90DAY): LOANS FGN OFFICE	PAST DUE (NONACCR): LOANS FGN OFFICE	P/D(30-89DA):LEASE FIN REC - DERIVED	P/D(>=90DAY):LEASE FIN REC - DERIVED	P/D(NONACCR):LEASE FIN REC - DERIVED	LNS SECD BY RE TO NONUS ADR,PAS DU30	LNS SECD BY RE TO NONUS ADR,PAS DU90	LNS SECD BY RE TO NONUS ADR,NONACCRL	C&I LNS TO NONUS ADR,PAS DU 30-89 DY	C&I LNS TO NONUS ADR,PAS DU 90 DYS	C&I LNS TO NONUS ADR,NONACCRUAL	TOTAL, NONACCRUAL	TOTAL, PAST DUE 30-89 DAYS, ACCRUING	TOTAL, PAST DUE 90 OR MORE, ACCRUING	LOANS TO FARMERS, NONACCRUAL	LN TO FRMERS,PAST 30-89 DYS, ACCRUIN	LN TO FRMERS,PAST 90 OR MORE,ACCRUIN	PAST DUE (30-89 DAYS): C&I LOANS	PAST DUE (>=90 DAYS): C&I LOANS	PAST DUE (NONACCRUAL):C&I LOANS	LNS SECD BY FARMLAND-PAST DUE 30-89	LNS SECD BY FARMLAND-PAST DUE 90DYS	LNS SECD BY FARMLAND-NONACCRUAL	LNS SECD BY MULTIFAMILY-PST DU 30-89	LNS SECD BY MULTIFAMILY-PST DU 90DYS	LNS SECD BY MULTIFAMILY-NONACCRUAL	OTH ASSETS-PAST DUE 30-89 DYS, ACCRG	OTH ASSETS-PAST DUE 90DYS OR MOR,ACG	OTHER ASSETS-NONACCRUAL	LNS TO FOREIGN BKS-PAST DU 30-89 DYS	LNS TO FOREIGN BKS-PAST DU 90 DYS OR	LNS TO FOREIGN BKS-NONACCRUAL	RVLVG,OPEN-END LNS-PAST DU 30-89 DYS	RVLVG,OPEN-END LNS-PAST DU 90 DYS OR	RVLVG,OPEN-END LNS-NONACCRUAL	ALL OTHER LOANS-PAST DU 30-89 DAYS	ALL OTHER LOANS-PAST DU 90 DYS OR MO	ALL OTHER LOANS-NONACCRUAL	COMMCL RE,ETC.-PAST DUE 30-89 DYS,AG	COMMCL RE,ETC.-PAST DUE 90DYS OR MOR	COMMCL RE,ETC.-NONACCRUAL	PAST DUE(30-89DA): CREDIT CARD LOANS	PAST DUE(>=90DAY): CREDIT CARD LOANS	PAST DUE(NONACCR): CREDIT CARD LOANS	P/D(30-89DA):LOANS TO DI'S - DERIVED	PD GE 90 DAY LN TO DI DERIVED	P/D(NONACCR):LOANS TO DI - DERIVED	LOANS & LEASES HLD FOR SALE-NONACCRL	CLSD-END LNS:SCRD 1ST LIENS-NONACCRL	CLSD-ED LNS:SCRD JR LIENS-NONACCRUAL	CLSD-ED LNS:SEC 1 LIENS PA DU 30-89	CLSD-ED LNS:SEC 1 LIENS PA DU 90 MOR	CLSD-ED LNS:SEC JR LIENS PA DU 30-89	CLSD-ED LNS:SEC JR LIENS PA DU 90 MO	LNS & LEASES H-F-S PA DU 30-89 DYS	LNS & LEASES H-F-S PA DU 90 DYS MORE	ADDITIONS TO NONACCRUAL ASSETS	N/ACCRUAL ASSETS SOLD DURING QUARTER	LSE INDVDL FOR HSHLD, FMLY, PRSNL 30	LSE INDVDL FOR HSHLD, FMLY, PRSNL > 	LSE INDVDL FOR HSHLD, FMLY, PRSNL NA	1-4  FAM RES CNSTRCTN LN PD 31-89 DA	OTHER CNSTRCTN LN PAST DUE 31-89 DAY	1-4  FAM RES CNSTRCTN LN PD > 90 DAY	OTHER CNSTRCTN LN PAST DUE > 90 DAYS	1-4  FAM RES CNSTRCTN LN NONACCRUAL	OTHER CNSTRCTN LN NONACCRUAL	LN SCRD BY OWNR OCCPD NFARM NRES 30-	LN SECURED BY OTHR NFARM NONRES PRPR	LN SCRD BY OWNR OCCPD NFARM NRES > 9	LN SCRD BY OTHR NFARM NRES PRPRTY > 	LN SCRD BY OWNR OCCPD NFARM NRES NON	LN SCRD BY OTHR NFARM NRES PRPRTY NA	LN MOD FIN DFCLTY SCD 1-4 RES PD 30 	LN MOD FIN DFCLTY SCD 1-4 RES PD 90	LN MOD FIN DFCLTY SCD 1-4 RES NONACC	TOTAL LN MOD FIN DFCLTY PD 30 -89	TOTAL LN MOD FIN DFCLTY PD 90	TOTAL LN MOD FIN DFCLTY NONACCRUAL	LN GUAR US , EXCLUD FDIC PD 30 - 89	LN GUAR US , EXCLUD FDIC PD 90	LN GUAR US , EXCLUD FDIC NACRL	GUAR LN EXCL REBOOK GNMA LN PD 30 - 	GUAR LN EXCL REBOOK GNMA LN PD 90	GUAR LN EXCL REBOOK GNMA LN NACRL	REBOOK GNMA LN REPURCH PD 30 - 89	REBOOK GNMA LN REPURCH PD 90	REBOOK GNMA LN REPURCH NACRL	LS SHR FDIC CVRD LS SHAR PD 30 - 89	LS SHR FDIC CVRD LS SHAR PD 90	LS SHR FDIC CVRD LS SHAR NACRL	LN MOD FIN DFCLTY 1-4 FAM CNSTRTN LN	LN MOD FIN DFCLTY 1-4 FAM CNSTRTN LN	LN MOD FIN DFCLTY 1-4 FAM CNSTRTN LN	LN MOD FIN DFCLTY OTHR CNSTRTN LN 30	LN MOD FIN DFCLTY OTHR CNSTRTN LN PD	LN MOD FIN DFCLTY OTHR CNSTRTN LN NA	LN MOD FIN DFCLTY SECD MULTI PD 30 -	LN MOD FIN DFCLTY SECD MULTI PD 90	LN MOD FIN DFCLTY SECD MULTI NACRL	LN MOD FIN DFCLTY SECD NONFARM OWN P	LN MOD FIN DFCLTY SECD NONFARM OWN P	LN MOD FIN DFCLTY SECD NONFARM OWN N	LN MOD FIN DFCLTY SECD NONFARM NONRE	LN MOD FIN DFCLTY SECD NONFARM NONRE	LN MOD FIN DFCLTY SECD NONFARM NONRE	LN MOD FIN DFCLTY CMRL IND LN US ADR	LN MOD FIN DFCLTY CMRL IND LN US ADR	LN MOD FIN DFCLTY CMRL IND LN US ADR	LN MOD FIN DFCLTY CMRL IND LN NUS AD	LN MOD FIN DFCLTY CMRL IND LN NUS AD	LN MOD FIN DFCLTY CMRL IND LN NUS AD	LN MOD FIN DFCLTY ALL OTHR LN LEASE 	LN MOD FIN DFCLTY ALL OTHR LN LEASE 	LN MOD FIN DFCLTY ALL OTHR LN LEASE 	ITEMIZE LN MOD FIN DFCLTY FARM PD 30	ITEMIZE LN MOD FIN DFCLTY FARM PD 90	ITEMIZE LN MOD FIN DFCLTY FARM NACRL	ITEMIZE LN MOD FIN DFCLTY FINANCE AG	ITEMIZE LN MOD FIN DFCLTY FINANCE AG	ITEMIZE LN MOD FIN DFCLTY FINANCE AG	AUTO LN TO IND HH FAM PD 30 - 89	AUTO LN TO IND HH FAM PD 90	AUTO LN TO IND HH FAM NONACCRUAL	OTHR LN TO IND HH FAM PD 30 - 89	OTHR LN TO IND HH FAM PD 90	OTHR LN TO IND HH FAM NONACCRUAL	LN MOD FIN DFCLTY CMRL IND LN PD 30 	LN MOD FIN DFCLTY IND LN PD 90	LN MOD FIN DFCLTY IND LN NACRL	ITEMIZE LN MOD FIN DFCLTY CREDIT CAR	ITEMIZE LN MOD FIN DFCLTY CREDIT CAR	ITEMIZE LN MOD FIN DFCLTY CREDIT CAR	ITEMIZE LN MOD FIN DFCLTY AUTO LN HO	ITEMIZE LN MOD FIN DFCLTY AUTO LN HO	ITEMIZE LN MOD FIN DFCLTY AUTO LN HO	ITEMIZE LN MOD FIN DFCLTY OTHR CNSMR	ITEMIZE LN MOD FIN DFCLTY OTHR CNSMR	ITEMIZE LN MOD FIN DFCLTY OTHR CNSMR	Loans to mortgage credit intermediar	Loans to business credit intermediar	Loans to private equity funds -- Dom	
37																																																																																																		0	0	0							95	371	32				0	3	25	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	274	29	0	0								0	0	0	0	0	10	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0		0	0																															67	0	25	30	0	35													0	0	0	
242																																																																																																		0	0	0							105	720	376				51	64	34	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		41	0	354	233	0	8								0	0	0	0	0	0	0	29	0	19	0	0				0	0	0	0	0	0	0	0	0	0	0	0		0	0																															130	2	30	156	50	0													0	0	0	
279																																																																																																		0	0	0							2197	3919	0	0	0	0	121	0	1070	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1077	0	245	0	6	0								0	0	0	0	0	0	0	3532	0	0	45	0				0	0	0	0	0	0	0	0	0	0	0	0		0	0																															0	0	0	15	0	5													0	0	0	
354																																																																																																		0	0	0							0	1611	746				160	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	32	47	0	0	0	0		0	0	1349	341	0	0								0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0		0	0																															0	0	0	70	358	0													0	0	0	
457																																																																																																		0	0	0							1893	684	109	100	15	109	479	0	85	0	0	600	0	0	0	0	0	0				0	0	0	15	109	100	0	0	0	0	0	0	0	0	0		895	99	116	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0				479	0	711	0	0	0	0	0	0	0	0	0		0	0																															24	0	69	50	0	45													0	0	0	
505																																																																																																		0	0	0							679	1969	250	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		351	0	1310	173	0	0								0	0	0	0	0	0	558	0	0	0	328	0				400	0	126	0	0	0	0	0	0	0	0	0		0	0																															49	56	0	47	21	0													0	0	0	
1155																																																																																																		0	0	0							140	166	138	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0				0	0	80	0	0	0	0	0	0	0	0	0	0	0	0		0	60	70	136	0	0								0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0		0	0																															16	0	0	0	2	0													0	0	0	
1351																																																																																																		0	0	0							3115	1509	1111	0	0	0	173	499	326	0	98	0	0	0	0	0	0	0				0	0	0	95	29	0	0	0	0	0	0	0	0	0	0		821	0	92	257	0	0								0	0	0	0	0	0	629	0	118	0	1832	0				0	0	0	0	0	0	0	0	0	0	0	0		0	0																															437	98	66	83	12	70													0	0	0	
1454																																																																																																		0	0	0							0	411	3968	0	0	0	45	1218	0	0	0	0	0	0	0	0	0	0				49	0	0	0	0	0	0	0	0	0	0	0	0	2750	0		0	0	98	0	0	0								0	0	0	0	0	0	106	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0		0	0																															87	0	0	26	0	0													0	0	0	
