"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ACL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ACL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW CR LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
37		0	816	0	2	0	822	8	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
242		0	186	0	32	0	182	28	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
279		0	3246	513	4	0	3222	493	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45		
354		0	805	1009	21	0	712	937	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-20		
457		0	1162	226	9	0	964	37	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
505		0	8646	480	12	0	8546	392	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1155		0	6984	225	12	0	6927	180	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1351		0	1450	225	126	0	1250	151	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1454		0	7592	1369	90	0	6234	101	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1669		0	5504	457	89	0	5483	525	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1856		0	431	44	0	0	387	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		
2161		0	2943	370	15	0	2673	115	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2732		0	5628	360	0	0	5268	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30		
