"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1545	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDJ451	RCFDJ454	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCFDPV05	RCFDPV06	RCFDPV07	RCFDPV08	RCFDPV09	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RCONPR04	RCONPR05	RCONPR06	RCONPV05	RCONPV06	RCONPV07	RCONPV08	RCONPV09	RIADG377	
	REAL ESTATE LOANS, TOTAL	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	LOANS FOR PURCHASING SECURITIES	LOANS TO FINANCE AGRICULTURAL PROD	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	REVOLVING, OPEN-END LNS SECD BY 1-4F	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	LN SECURED BY 1-4 FAM RES CONSTRUCTI	LN SECURED BY OTHR CNSTRCTN LN & LA 	LN SECURED BY OWNER OCCPD NONFARM NO	LN SECURED BY OTHR NONFARM NONRES PR	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	PLDG LN AND LEASE	TOTAL LN MOD FIN DFCLTY	ALL OTHR LN (EXCLUDE CONSUMER LN)	LN NDEP FNCL INST	LN MOD FIN DFCLTY HOUSE FAMILY CREDI	LN TO IND HH OTHR AUTO LN	LN MOD FIN DFCLTY CMRL US ADR	LN MOD FIN DFCLTY CMRL NONUS ADR	LN MOD FIN DFCLTY ALL OTHR LN	ITEMIZE LN MOD FIN DFCLTY LN FI AGRI	LN MOD FIN DFCLTY HOUSE FAMILY AUTO 	LN MOD FIN DFCLTY HOUSE FAMILY OTHR 	LN TO IND HH OTHR AUTO LN	Loans to mortgage credit intermediar	Loans to business credit intermediar	Loans to private equity funds -- Con	Loans to consumer credit intermediar	Other loans to nondepository financi	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	LOANS FOR PURCHASING SECURITIES	LOANS TO FINANCE AGRICULTURAL PROD	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	LN SECURED BY 1-4 FAM RES CONSTRUCTI	LN SECURED BY OTHR CNSTRCTN LN & LA 	LN SECURED BY OWNER OCCPD NONFARM NO	LN SECURED BY OTHR NONFARM NONRES PR	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	TOTAL CARRY AMT OF CLS-END LN NEG AM	TOTAL MAX REMAINING NEG AMRTZ PERMIT	TOTAL AMT NEG AMRTZ ON CLS-END LN IN	LN MOD FIN DFCLTY SEC 1-4 RES PROP I	LN SEC 1-4 RES PROP IN PROC OF FCLS	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	CNSTRCTN DEV & OTHR AMT LN INT RSRV	PLDG LN AND LEASE	FV LN LEASE ACQUISITION	GROSS CONTRACT RCVBL	BEST EST AT ACQUISITION DT	TOTAL LN MOD FIN DFCLTY	ALL OTHR LN (EXCLUDE CONSUMER LN)	LN NDEP FNCL INST	OTHER LOANS	LN MOD FIN DFCLTY HOUSE FAMILY CREDI	LN TO IND HH OTHR AUTO LN	LN MOD FIN DFCLTY CNST LAND DEV 1-4 	LN MOD FIN DFCLTY CNST LAND DEV OTHR	LN MOD FIN DFCLTY CNST LAND DEV MULT	LN MOD FIN DFCLTY LAND DEV NFARM NRE	LN MOD FIN DFCLTY LAND DEV NFARM NRE	LN MOD FIN DFCLTY CMRL US ADR	LN MOD FIN DFCLTY CMRL NONUS ADR	LN MOD FIN DFCLTY ALL OTHR LN	ITEMIZE LN MOD FIN DFCLTY LN SCD FAR	ITEMIZE LN MOD FIN DFCLTY LN FI AGRI	LN MOD FIN DFCLTY HOUSE FAMILY AUTO 	LN MOD FIN DFCLTY HOUSE FAMILY OTHR 	LN TO IND HH OTHR AUTO LN	LN MOD FIN DFCLTY CMRL	Revolving, open-end lines of credit	Number of outstanding Section 4013 l	Outstanding balance of Section 4013	Reverse mortgages outstanding that a	Estimated number of reverse mortgage	Principal amount of reverse mortgage	Loans to mortgage credit intermediar	Loans to business credit intermediar	Loans to private equity funds -- Con	Loans to consumer credit intermediar	Other loans to nondepository financi	CNSTRCTN DEV & OTHR AMT INT CAP	
37																																																																				0	930	0		90			2074	48		3001	19485	0	0	0	6887	0	0	5718	174	817	2556	1603	1737	0	3562	1207	3362	3710	703	0				0	0			0	395	451	11			0			0	0														0	0	0	0	0		0	42	0	1501	0	0	0	0	0			0	0		0	0	4055	0	0	CONF	CONF	0	0	0							
242																																																																				0	2690	0		1166			2805	0		977	30386	0	0	0	12700	332	90	13239	469	1364	4228	4837	1609	0	8681	2725	2264	2551	1435	0				0	0			0	0	0	5696			0			0	0														12700	0	0	0	0		0	9	0	2232	0	0	0	0	0			0	0		0	0	1779	0	0	CONF	CONF	0	0	0							
279																																																																				0	17085	10943		33			8813	546		14890	306644	0	1219	0	134457	5380	7459	30407	5085	1883	2212	2980	19588	101740	69398	15401	12012	14543	18436	41352				0	0			16787	31585	26891	34634			0			113	0													0	145922	0	0	0	113		0	310	0	589	0	0	0	0	0			0	0	0	0	0	2482	0	0	CONF	CONF	0	0	0						0	
354																																																																				0	2030	1303		281			2969	1220		0	98393	0	0	0	41275	42	156	17678	18506	636	2720	2613	536	16265	4937	14979	4178	31157	1717	0				992	0			6275	808	904	39893			0			0	0														97397	0	0	0	0		0	21	0	41	0	0	0	0	0			0	0		0	0	339	0	0	CONF	CONF	0	0	0							
457																																																																				0	7906	2425		7613			7051	1278		1884	79786	0	0	0	27332	4063	0	24118	2326	5041	10091	5883	3151	220	8659	10242	15659	8734	7176	686				0	0			2746	2637	3185	7004			0			126	0														41199	0	0	0	1108		0	9	0	1990	0	0	0	0	0			876	870	0	6	0	2663	106	0	CONF	CONF	0	0	0							
505																																																																				0	269	130368		0			28285	17092		3847	803219	145	0	6528	322518	4436	112971	41178	444	2077	11544	28011	125119	154990	73946	19613	82319	100736	149284	54619				0	203			7520	19201	59742	146259			0			213	0														466616	0	0	0	213		245	23	0	6419	0	0	0	0	0			0	0	0	0	0	56937	0	2625	CONF	CONF	0	0	0							
1155																																																																				0	31341	42346		19364			53688	7732		6288	430565	0	0	0	109039	12663	170	112007	4383	17297	37458	42737	4669	2496	64518	40902	94450	101319	19868	330				0	91			8333	21745	72945	31211			0			46	0														220518	0	0	0	46		0	8874	0	1986	0	0	0	0	0			0	0	0	0	0	2919	0	0	CONF	CONF	0	0	0							
1351																																																																				0	14683	0		9976			27918	0		0	150057	0	0	0	27036	0	26175	102159	3132	12259	3676	6729	379	0	19404	67364	14136	14031	5154	403				0	0			927	1795	48745	0			0			400	0														0	0	0	0	4235		0	190	0	12159	0	0	0	1690	0			1476	0	52	991	0	6628	669	0	CONF	CONF	0	0	0							
1454																																																																				19750	14139	40194		2212			113101	19573		0	607172	1745	2379	13292	109390	4340	24118	110338	4849	665	581	21312	26850	55133	81324	48368	65262	155763	115442	32105				0	296			1806	104828	69088	93659			0			0	0														86259	0	0	0	670		0	1640	0	9424	0	0	0	0	614			0	0	0	0	0	3098	56	0	CONF	CONF	0	1	0							
