"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT89	RCONMT91	RCONMT93	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Not fully insured, affiliate sweep d	Fully insured, non-affiliate sweep d	Not fully insured, non-affiliate swe	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	10996	0	11726	19794	0	35759	0	0	0	0	36591	0	861	1	13877	2083	2606	24033	35730	0	0	973	0	0	3448	11060	6365	623	14508	0	864	417	735	7619	2016	0	0	864	0	0	0	0	0	0	true							
242	7252	0	1247	12987	0	20883	0	0	0	0	26795	0	5329	6575	6167	6383	1438	19636	21466	0	0	116	0	0	2623	2982	2552	665	5605	281	3758	301	0	2655	4340	0	0	4039	0	0	0	0	0	0	true							
279	41496	0	5306	49582	0	110293	0	0	18000	0	221322	0	4013	8171	52639	46040	15407	104987	217309	0	0	8751	18000	0	25031	45613	11039	18528	70644	12075	19865	1634	0	47572	33574	0	0	31940	2723	0	0	0	0	0	true							
354	1921	0	187	20048	0	20048	0	0	19024	0	77535	0	1588	852	2451	18996	311	19861	47703	0	28244	216	19024	8608	7863	15963	19909	9053	23826	1685	1384	509	253	50337	3831	0	0	3069	28244	0	0	0	0	0	true							
457	7910	0	458	11830	0	14552	0	0	0	0	57205	0	10615	9261	11445	20743	3480	14094	45102	0	1488	1858	0	0	5549	15867	605	502	21416	2104	3925	0	0	11078	6029	0	0	6029	1488	0	0	0	0	0	true							
505	87243	0	32172	149270	0	246631	0	0	60384	0	519336	0	80329	80430	29909	284891	2866	214459	439007	0	0	639	0	0	18260	38286	2008	207	54783	31936	37809	18696	0	28852	88441	96701	42510	27235	0	0	0	87421	0	87421	false							
1155	522	2	48533	128030	0	353165	0	0	0	0	142037	0	13330	45659	35676	43465	8735	302107	128707	2523	0	2893	0	0	32482	30188	4714	698	61292	14343	15625	0	0	32406	29968	59474	0	29537	0	0	0	56006	0	56006	true							
1351	9405	0	17194	30223	0	58154	0	0	0	0	142039	0	10625	26245	35696	31214	10650	40960	131414	0	0	5594	0	0	17394	29880	27206	0	42274	7348	12765	6826	0	38785	26939	0	0	20113	0	0	0	0	0	0	false							
1454	802	0	86981	371940	0	658046	0	0	0	0	396868	878	57633	98173	36666	261038	33729	568093	338357	2972	0	16520	0	0	38745	30632	3812	2867	60126	33710	23338	853	1070	39391	58971	131762	0	31062	0	0	0	125103	0	125103	true							
1669	40015	0	74011	113037	0	222825	0	0	10025	0	185984	0	15206	71490	27065	18632	10314	148049	170758	765	20	5324	9224	9224	32200	24747	2648	1040	56441	30882	35308	255	259	33569	66704	0	0	66190	0	0	0	8786	0	0	true							
1856	1365	0	2100	4226	0	7438	0	0	0	0	27592	0	1107	2957	5675	1977	0	5338	26477	0	8	0	0	0	6510	9917	87	21	16427	3610	4105	0	0	10860	7715	0	0	7715	0	0	0	0	0	0	true							
2161	26597	0	34815	75121	0	144477	0	0	8872	0	183154	0	7060	12745	8613	106407	4291	109662	176094	0	0	1780	8872	0	9707	20623	836	196	28746	4292	8001	1495	5000	22749	18788	77430	0	12293	0	0	0	63807	0	63807	true							
2732	46641	0	25407	133869	0	193432	0	0	0	0	408405	0	30892	49131	27818	140047	9016	168025	377513	0	0	3235	0	0	47626	40847	2212	346	88306	60683	68677	1327	0	63213	130687	24651	0	129359	0	0	0	0	0	0	true							
2750	13885	0	7079	7912	0	19785	0	0	0	0	38042	0	8522	9660	8080	788	2228	12706	29520	0	0	1311	0	0	5260	11221	666	379	15916	1637	4206	0	0	9445	5843	0	0	4966	0	0	0	0	0	0	true							
3252	20142	0	156752	72742	0	206747	0	0	0	0	105996	0	37861	188157	12203	21072	5669	49995	66867	0	1268	0	0	0	10109	15315	4086	70	25424	17369	13854	626	3354	17376	35203	9320	0	31223	0	0	0	8573	0	8573	false							
3720	55684	0	57272	107346	0	233948	0	0	0	0	158693	0	11045	64243	23138	25147	5812	176676	147648	0	0	2234	0	0	16861	29380	576	0	46240	7014	24032	0	0	23679	31046	0	0	31046	0	0	0	0	0	0	true							
3971	103614	0	4541	181087	0	309399	0	0	1628	0	533209	0	15491	6062	98011	194039	14267	304858	516299	0	1419	5791	1628	1628	35892	121959	27658	1802	157851	7941	31103	8901	300	89300	48245	9212	0	39044	0	0	0	0	0	0	true	156064	148794	130766	63273	83680	19934	
4231	21441	0	42474	38556	0	84807	0	0	0	0	63739	0	1782	42929	11967	8571	10457	42333	61957	0	0	6482	0	0	5569	12659	5656	1530	18228	2848	3754	800	910	13447	8312	0	0	6602	0	0	0	0	0	0	true							
5069	27038	0	0	38072	0	39876	0	0	77337	0	219518	4750	1229	0	28304	50952	977	39876	186209	0	27330	613	77337	50587	10731	32037	31272	716	42768	17459	38293	9610	1410	46452	66772	0	0	55752	597	0	0	0	0	0	false							
5135	30560	0	55372	115687	0	196596	0	0	10055	0	332191	0	14994	60789	65972	58032	22071	141224	307142	0	10055	15127	10055	10055	56797	95412	2779	0	152209	35181	53432	0	0	89016	88613	0	0	88613	0	0	0	0	0	0	true							
5210	333973	32	90212	1006401	0	1178345	248	0	59077	0	1297179	0	50607	103576	249070	510277	53272	1085871	1245231	1982	1341	18030	59077	59077	92525	238211	30251	3964	328068	23422	58951	5605	0	115881	87978	89098	0	82373	0	0	0	80824	0	80824	true	98329	385230	306373	178773	304391	28054	
5461	60956	0	9987	325236	0	325236	0	0	0	0	345686	0	23262	23155	9549	200991	2508	315249	322424	0	0	507	0	0	21065	10123	461	16	31188	37184	12259	2632	0	22116	52075	135381	0	49443	0	0	0	135381	0	135381	true							
5751	14668	0	4334	48227	0	78678	0	0	52632	0	221368	0	48151	40571	15404	97872	5300	74344	161503	0	11714	2217	51478	248	10766	14444	9250	6505	25210	7870	7087	31053	21853	25561	67863	14632	1154	14957	9587	0	0	12190	0	12190	true							
6039	49467	0	26260	243124	0	244298	0	0	0	0	264708	0	681	26941	46662	64042	5650	218038	264027	0	0	1501	0	0	33880	70481	2583	525	104361	12015	30799	641	275	60808	43730	0	0	42814	0	0	0	0	0	0	true							
