"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT88	RCONMT89	RCONMT90	RCONMT91	RCONMT92	RCONMT93	RCONMT94	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Fully insured, affiliate, retail swe	Not fully insured, affiliate sweep d	Not fully insured, affiliate, retail	Fully insured, non-affiliate sweep d	Fully insured, non-affiliate, retail	Not fully insured, non-affiliate swe	Not fully insured, non-affiliate, re	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	11115	0	8184	20601	0	32743	0	0	0	0	38233	0	1122		14160	2369		24559	37111	0	0	1331	0	0	2682	13373	6187	194	16054	0	1292	287	735	8275	2314	0	0	1292	1																	
242	7993	0	1256	13264	0	21168	0	0	0	0	27371	0	4607		6045	6292	1469	19912	22764	0	0	117	0	0	2212	3266	2605	627	5478	3493	883	0	0	2665	4376	0	0	4376	0										true							
279	41868	0	4750	53061	0	113359	0	0	18000	0	223001	0	4160		52287	48148		108609	215377	0	3464	9035	18000	0	20990	47334	13933	18203	68324	10672	18727	3127	0	48172	32526	0	0	29399	3464																	
354	1481	0	174	19600	0	19600	0	0	18924	0	81906	0	1714		2595	26986		19426	55165	0	25027	218	18924	9004	6317	15914	18804	9061	22231	816	2527	0	0	47501	3343	0	0	3343	25027																	
457	8053	0	305	11487	0	14395	0	0	0	0	56625	0	9677		11617	20622		14090	44962	0	1986	1602	0	0	7754	14121	768	506	21875	2223	2578	0	0	11532	4801	0	0	4801	1986																	
505	85414	0	40734	152273	0	256653	0	0	60384	0	557104	0	86588		30835	320395		215919	470516	0	0	584	60384	42510	27415	30631	1039	204	56192	16672	56865	18469	0	28454	92006	108165	0	30987	0																	
1155	518	0	43187	114487	0	341974	0	0	0	0	151434	0	13527		35971	45564		296545	137907	2242	0	3129	0	0	26128	38317	5172	617	63702	16926	18192	0	0	34264	35118	39933	0	34684	0																	
1351	9982	0	13083	28711	0	51731	0	0	0	0	146200	0	11050		35857	32320		38648	135150	0	0	6120	0	0	11965	31824	30260	0	43789	10305	8755	10788	0	38193	29848	0	0	19060	0																	
1454	840	0	129012	333297	0	625561	0	0	0	0	411974	878	56997		38504	263089		490361	354099	6188	0	17236	0	0	42446	34117	4602	2218	67524	48514	14198	858	1092	44879	64662	135025	0	38485	0																	
1669	39867	0	71864	108577	0	220581	0	0	10025	0	174622	0	206		26992	21733		147686	174396	1031	20	5553	10025	10025	28063	28186	2581	958	55734	18219	34502	255	259	32796	53235	0	0	52720	0																	
1856	1433	0	2489	5051	0	8710	0	0	0	0	26612	0	1914		5311	2929		6221	24690	0	8	0	0	0	3431	12043	88	21	15474	1396	5272	0	0	10271	6668	0	0	6668	0																	
2161	27957	0	56552	90832	0	167528	0	0	19187	0	186120	0	28748		4523	109913		110482	157135	494	237	4122	0	0	4335	26574	877	293	30909	3745	7426	0	5000	27556	16171	91312	0	11171	0																	
2732	45854	0	22070	136211	0	192680	0	0	0	0	408068	0	34016		28237	138209		170610	374052	0	0	3110	0	0	20975	68866	2058	347	89641	23744	101387	6628	0	64009	131759	24473	0	125131	0																	
2750	15105	0	7857	8126	0	20750	0	0	0	0	39320	0	9325		7922	789		12893	29995	0	0	1318	0	0	5609	11001	784	99	16173	3338	2195	0	400	9571	5933	0	0	4644	0																	
3252	20891	0	162115	66837	0	213255	0	0	0	0	109323	0	41415		12229	21598		51140	66620	0	1288	0	0	0	8198	19152	2657	160	27350	14848	17455	1006	3357	17939	36666	8325	0	32303	0																	
