"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37														174		74	0					100	0	0							
242														78		0	0					73	0	5							
279														2746		1594	0					493	447	212							
354														1279		0	189					164	855	71							
457														223		13	0					136	74	0							
505														9632		5038	1028					866	2607	93							
1155														3333		2114	0					692	527	0							
1351														1244		93	0					961	190	0							
1454														7937		6731	0					314	316	576							
1669														2255		1450	0					787	18	0							
1856														75		3	0					39	23	10							
2161														6977		5477	0					234	1093	173							
2732														5187		2260	0					1929	818	180							
2750														896		592	0					102	192	10							
3252														815		36	0					550	229	0							
3720														3548		1	0					299	3198	50							
3971														11216		5298	0					2988	2822	108							
4231														792		0	0					348	324	120							
5069														7926		2705	0					1858	2644	719							
5135														3488		1158	0					1073	1257	0							
5210														37905		25058	0					896	10133	1818							
5461														7651		5784	0					131	1554	182							
5751														1870		1314	0					194	232	130							
6039														4491		526	0	99				2038	1880	47	331		96				
6329														17989		9673	0	1029				2431	4443	1442	4646		3315				
7009														21066		288	0					4416	16362	0							
7045														1189		0	0					208	981	0							
7072														5568		3737	0					264	1528	39							
7456														770		393	0					259	118	0							
7634														368		0	0					206	126	36							
8462														1202		22	0					1120	49	11							
8631														829		669	0					63	95	2							
9357														10759		8695	0					24	1949	91							
9553														1701		1	0					272	1428	0							
9807														19218		5038	0					5082	8360	738			3642	0	0		
9955														626		4	0					173	449	0							
10250														3721		1504	0					996	927	294							
10849														1495		167	0					295	741	292							
11145														4349		450	0		77	223	34	462	3388	49		116		Great Lakes Capital FUnd	Differed Revenue	Marble Cliff Capital	
11640														3380		1701	0					791	888	0							
11837														733		2	0					106	466	159							
12030														7318		4257	0					1204	441	1416							
12142														2642		1162	0					1249	212	19							
12311	4215290	0	3023627	0	1285321	0	0	0	806143	125519	0	0	0									260001									
12647														552		170	0					290	92	0							
12946														26424		14135	0					1485	10349	455							
13103														41014		24784	0					3534	10054	2642		8180					
13251														299		133	0					161	0	5							
13457														765		3	0					336	426	0							
14155														3516		1254	0					962	1279	21							
14650														995		249	0					247	306	193							
14753														298		0	81					140	77	0							
14865														7447		5877	0					260	1285	25							
14977														387		23	0	17				225	106	33							
16551														1678		137	0					582	515	444							
17110														20374		6806	0					513	12974	81			6544				
17147														255668		82644	0					8796	145728	18500		46688					
17259														1413		1242	0					90	81	0							
17950														3630		1830	0					690	949	161							
17978														1153		244	666					15	228	0							
18050														4822		2428	0					1120	1094	180							
18827														23463		11893	0					2032	6898	2640							
18836														3359		958	0					218	1983	200							
18854														13879		7391	0		2570			1154	4870	464			2301	Dividends Payable			
19356														846		308	0					287	162	89							
19936														3671		2859	0					391	1	420							
19972														1399		1343	0					1	35	20							
20053														1124		0	0					354	749	21							
20633														2268		959	0					181	892	236							
20857														3157		698	0					1836	541	82							
21256														22		12	0					10	0	0							
21359														375		220	0					72	83	0							
