"IDRSSD"	RCONC970	RCONC971	RCONC972	RCONC973	RCONC974	RCONC975	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ459	RCONPV10	RCONPV11	RCONPV12	RCONPV13	RCONPV14	RCONPV15	RCONPV16	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	CR DRIVTS:NTNL AMTS-TOT RETRN SWAPS-	CR DRIVTS:NTNL AMTS-TOT RETRN SWAPS-	CRD DERIVTS:NOTL AMTS-CRD OPTIONS-GU	CRD DERIVTS:NOTL AMTS-CRDIT OPTIONS-	CRD DERIVTS:NOTL AMTS-OT CR DERIVTS-	CRD DERIVTS:NOTL AMTS-OT CR DERIVTS-	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open 	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT ALL OTHR	Loans to depository financial instit	Loans to nondepository financial ins	Loans to mortgage credit intermediar	Loans to business credit intermediar	Loans to private equity fund	Loans to consumer credit intermediar	Other loans to nondepository financi	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
37								0	265																																	0	4936	0	0													
242								148	390																																	0	1454	0	0													
279								9593	13475																																	784	4647	0	0													
354								4653	0																																	640	720	0	0													
457								649	53																																	1691	3401	0	0													
505								8035	22249																																	18002	34072	0	0													
1155								10136	18020																																	34345	27688	0	0													
1351								424	806																																	4610	1410	0	0													
1454								76	17061																																	16063	34088	0	0													
1669								4570	3827																																	11841	1706	0	0													
1856								0	0																																	1433	1014	0	0													
2161								1020	3073																																	3051	2597	0	0													
2732								1410	20273																																	45164	5204	0	0													
2750								365	2259																																	1770	12254	0	0													
3252								0	654																																	4309	15222	0	0						One way Sell							
3720								1165	5152																																	4096	2434	0	0													
3971								5903	20573																																	40840	10756	0	0													
4231								1768	1721																																	705	3717	0	0													
5069								5164	16712																																	1941	0	0	0													
5135								1261	8596																																	12138	62452	0	0													
5210								43159	110183																																	149093	55496	0	0													
5461								0	3769																																	14163	6822	0	0													
5751								714	710																																	8543	21463	0	0													
6039	0	0	0	0	0	0	0	11105	25179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																12220	5820	0	0													
6329	0	0	0	0	0	0	0	39857	89682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																44024	21585	0	0													
7009								0	0																																	0	0	0	0													
7045	0	0	0	0	0	0	0	3068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																1002	5985	0	0													
7072								2487	397																																	6116	3748	0	0													
7456								811	156																																	7521	33061	0	0													
7634								988	0																																	264	721	0	0													
8462								1459	119																																	2815	6549	0	0													
8631								1117	1367																																	292	106	0	0													
9357								0	9347																																	141605	4623	31614	152773													
